Gene,fold_T_NM
MFSD14A,1.051430282
RBP7,0.389875437
SASS6,57379934.56
LRRC39,1.148795624
DBT,0.681297177
CDC14A,0.816344125
SLC30A7,1.237803819
UBE4B,1.237743018
DPH5,3.595864059
KIF1B,1.206549959
COL11A1,6.152057958
AMY2B,0.787661705
PGD,1.775882457
AGRN,0.577399547
DFFA,0.622874716
NTNG1,0.661494348
VAV3,1.097303618
SLC25A24,1.227412982
FAM102B,0.519389833
HENMT1,1.915416266
STXBP3,1.259910404
CLCC1,1.358353122
WDR47,0.752804431
KIAA1324,0.601496909
SARS,1.587435479
SORT1,1.581696761
PSMA5,1.163193003
GNAI3,1.986282567
EPS8L3,80435584.34
CSF1,54064342.24
KCNC4,4.786796611
,0.996661635
EXOSC10,0.977440642
CD53,0.647161279
CEPT1,0.658864453
MTOR,1.308843958
ATP5F1,0.584378011
RAP1A,0.8570352
KCND3,0.250691632
ST7L,1.016165394
CAPZA1,1.176473352
LRIG2,2.440758827
MAGI3,1.02635646
PHTF1,1.279044436
PTPN22,0.9700437
AP4B1,0.513145202
HIPK1,1.036763227
TRIM33,0.956530565
CSDE1,1.160828383
TSPAN2,1.403016681
VANGL1,3.651778056
ATP1A1,0.387270276
FBXO44,2.019188447
CD2,1.00707333
PTGFRN,0.274176145
TTF2,126912176.6
MAN1A2,1.042601476
FAM46C,636823014.2
GDAP2,0.881191262
MTHFR,1.03579759
CLCN6,1.550606679
PLOD1,2.946875693
MFN2,1.051582812
NOTCH2,1.104406277
NBPF8,0.765473527
TNFRSF1B,2.197123746
SDF4,1.039888151
VPS13D,1.070383267
UBE2J2,0.632467638
DHRS3,0.790677322
PRDM2,0.899354356
CCNL2,0.945464306
NBPF20,29043523
RNF115,2.025778856
POLR3C,0.816022615
PIAS3,3.909679927
ANKRD35,11.85061084
ITGA10,0.600705663
LIX1L,0.766001761
POLR3GL,0.744651958
TXNIP,1.117683771
CHD1L,1.171000905
ACP6,1.172336147
OTUD7B,0.82396442
VPS45,2.109570598
PRPF3,1.081850102
RPRD2,0.835440687
TARS2,1.305648539
ENSA,0.970944464
CTSS,0.734180836
ARNT,1.061352899
SETDB1,1.057182999
PRUNE1,0.786863647
GABPB2,1.024508057
VPS72,0.602289184
PIP5K1A,1.012622074
PI4KB,0.836942084
POGZ,3.210463844
CGN,3.306335908
SNX27,1.003934291
THEM4,1.558190827
S100A10,989017095.3
FLG,2.146008395
FHAD1,1.69257284
ILF2,1.269863733
DENND4B,2.343121535
TPM3,1.021474162
C1orf43,0.763346305
UBAP2L,1.360769976
ATP8B2,1.481559733
IL6R,2.820150669
TDRD10,1.002850008
ADAR,0.797834256
KCNN3,0.609237389
PYGO2,164323288.1
SHC1,4.686855246
ADAM15,459429553.4
CASP9,1.533459885
TRIM46,253407518.8
MUC1,867145926.9
DNAJC16,0.719386216
FDPS,203077550.2
ASH1L,0.881729685
YY1AP1,1.000308385
DAP3,0.592641085
GON4L,0.925475185
SYT11,3.584964191
KIAA0907,0.84256277
ARHGEF2,0.759816031
SSR2,1.105575918
SSU72,0.83062143
SEMA4A,1.302116312
SLC25A44,2.084548745
DDI2,1.044786922
CCT3,0.930151917
MEF2D,2.36156752
ISG20L2,162396509.5
NTRK1,1.36372847
ARHGEF11,5.167740919
PLEKHM2,1.240251755
FBLIM1,0.864799658
KIRREL,1.929878694
SPEN,1.095462221
AIM2,0.388471303
ZBTB17,0.889800312
TAGLN2,3.323182415
IGSF9,219473782.7
PEA15,1369192813
DCAF8,0.867894501
COPA,1.272502956
NCSTN,11.12283469
CD84,5.535882864
SLAMF1,2.454046269
LY9,1.078481691
CD244,1.994605515
USF1,1.124339659
ARHGAP30,1.172240446
PFDN2,1.337886638
