Gene,fold_T_NM
PPOX,0.966400165
ADAMTS4,228200790.4
EPHA2,1.024486632
ATF6,0.876933824
ARHGEF19,1.010039935
NOS1AP,7.304337294
UAP1,1.468117239
FBXO42,1.102865097
RGS5,0.347847439
NECAP2,1.894526705
PBX1,0.729590716
CDK11B,0.832445016
ALDH9A1,7.527143287
TMCO1,0.497112934
UCK2,1.726159381
TADA1,0.65189299
POU2F1,0.827734907
RCSD1,3.695695646
MPZL1,2.447004431
DCAF6,0.80148425
GPR161,1.390305204
TIPRL,0.463703487
SFT2D2,1.388212655
TBX19,8.926438667
NME7,1.389135368
CROCC,4.092054305
SLC19A2,0.857364358
SELP,54268338.9
KIFAP3,1.576029264
SDHB,2.648430081
GORAB,0.854360193
PRRX1,1.099485568
PADI2,0.750351341
FMO2,1.06411387
FMO4,120731283.9
PRRC2C,0.868278217
METTL13,0.60402775
DNM3,1.219768863
SUCO,1.411164148
SLC35E2,1.033884551
KLHL20,0.849850578
CENPL,1.595287825
DARS2,0.881658748
ZBTB37,189221189
RC3H1,0.882497112
RCC2,0.590656977
RABGAP1L,1.241471247
CACYBP,1.727043146
ARHGEF10L,0.860059316
RFWD2,0.845716075
NADK,0.748386837
PAPPA2,4.576972215
RASAL2,2.044675738
GNB1,1.102591321
RALGPS2,0.768072464
FAM20B,1.048020017
TOR3A,0.662856362
ABL2,1.156284189
SOAT1,0.700465175
TDRD5,128598669.3
TOR1AIP2,0.270503343
TOR1AIP1,0.808069045
CEP350,1.075905847
ACBD6,1.215311891
XPR1,0.866177982
STX6,1.294520817
NPL,1.136887022
DHX9,0.633162304
LAMC1,0.701016484
LAMC2,3.959999083
NCF2,4.415235638
RGL1,1.174196761
EDEM3,0.624668906
FAM129A,0.664028344
SWT1,0.902554557
HMCN1,1.465336706
TPR,1.283497533
C1orf27,0.908555979
PDC,0.841997885
PLA2G4A,0.436973505
UBR4,0.808469152
EMC1,1.978833077
UCHL5,1.043524828
TROVE2,1.321423096
GLRX2,0.736615668
CDC73,0.775377667
PQLC2,0.553623484
CAPZB,1.742861116
KCNT2,1.607021641
CFH,0.550645652
TMCO4,0.810370865
ZBTB41,0.846840379
DENND1B,0.936067797
NEK7,1.112231184
PTPRC,2.054808733
OTUD3,0.460492303
NR5A2,1.237006299
DDX59,1.091495411
CAMSAP2,1.015513542
KIF21B,15.24706362
CSRP1,1.814316604
NAV1,1.397431156
IPO9,0.922200643
RNPEP,1.377439565
PTPN7,0.706616118
LGR6,23.41016641
PPP1R12B,1.176002135
KDM5B,2.308827794
ADIPOR1,1.307342574
PPFIA4,577669260.5
FMOD,0.308347467
ATP2B4,1.074315755
LAX1,1.923437651
ZC3H11A,1.71859948
SOX13,0.846967909
PLEKHA6,6.939666366
PIK3C2B,1.246151629
MDM4,3.830569677
NFASC,0.568739554
DSTYK,2.372761576
TMCC2,0.59013292
NUCKS1,4.071892472
PINK1,3.777821604
SRGAP2,1.441253651
IKBKE,0.546508065
DDOST,894618514.8
C1orf116,0.899989184
PFKFB2,0.173097728
C4BPA,0.773506233
HP1BP3,0.901159154
CR1L,24047139.48
CD46,0.923851902
CD34,124806435.1
PLXNA2,0.616213646
EIF4G3,1.129709214
TRAF3IP3,1.301571284
HHAT,1.131186037
RCOR3,0.626851457
TRAF5,0.964033824
LPGAT1,0.753612954
INTS7,1.056316612
ECE1,0.862161436
PPP2R5A,1.286070036
TMEM206,0.271581406
TATDN3,0.24914547
FLVCR1,0.944214246
ANGEL2,0.556688917
RPS6KC1,0.861138108
PRKCZ,1.444450158
SMYD2,1.173698109
PTPN14,0.69459148
KCNK2,0.586767255
KCTD3,1.106734158
ESRRG,1.038697967
USP48,1.305953083
GPATCH2,1.376394256
HSPG2,1.158967276
LYPLAL1,1.333422243
EPRS,1.017364634
BPNT1,8.681732795
IARS2,0.734634185
RAB3GAP2,0.834947307
MARK1,3.071262757
02-Mar,0.879354463
CDC42,1.307553111
FAAP20,0.433931416
DUSP10,42016947.34
BROX,0.996194242
DISP1,0.332702259
TLR5,0.899649955
SUSD4,1.631126091
CAPN2,1.108132585
TP53BP2,1.144654029
NVL,1.043065839
CNIH4,0.917268443
WDR26,0.866590698
CNIH3,1.418299038
ZBTB40,0.851060295
DNAH14,1.197102824
ENAH,0.547589546
SRP9,10.28455293
TMEM63A,0.852484284
SDE2,0.327569506
ACBD3,1.959891735
LIN9,0.962190815
PSEN2,0.500313652
COQ8A,2.107762555
CDC42BPA,1.285305396
SNAP47,2.55877864
EPHB2,0.535340726
GUK1,7.977432757
OBSCN,0.944958627
TRIM11,1.094341987
NUP133,0.768949717
ABCB10,0.617930643
GALNT2,0.521564906
KDM1A,1.0018129
COG2,2.243377886
C1orf198,5.930315473
SKI,0.912930202
TTC13,0.930943908
EXOC8,2.385876498
TSNAX,0.714206548
DISC1,1.153158223
SIPA1L2,1.010473063
PCNX2,1.006162051
HNRNPR,0.859740271
MLK4,0.699356966
TCEA3,0.759484084
ASAP3,0.349256276
TARBP1,1.255795171
TOMM20,57236484.72
RBM34,0.953627867
ARID4B,1.635928806
GGPS1,0.953366825
TBCE,0.951435455
B3GALNT2,0.823751261
LYST,1.066249117
NID1,0.702650677
GPR137B,1.810996826
ERO1B,0.101966431
LGALS8,15.12368443
HEATR1,14.62247892
MTR,1.03345201
RYR2,1.038715752
PITHD1,2.062867452
HMGCL,1.065958454
CNR2,52378144.66
RER1,1.386810744
RGS7,0.308244641
KMO,0.205621056
IFNLR1,0.686672048
NIPAL3,1.056265343
ADSS,1.442796307
C1orf101,1.274919602
HNRNPU,0.320338577
EFCAB2,0.980611946
RCAN3,0.732131122
SMYD3,1.740696989
TFB2M,1.453373157
CNST,0.775411109
SRRM1,0.374313384
SCCPDH,3.945768567
AHCTF1,1.966049866
ZNF124,1.115258678
NLRP3,86007213.86
SYF2,0.964048644
RSRP1,1.524504818
TMEM50A,1.733495444
TMEM57,1.155809481
LDLRAP1,1.96918877
MAN1C1,0.247080828
SEPN1,1.272309386
PAQR7,170494335.1
PAFAH2,1.156354044
CEP85,1.12185839
UBXN11,1.000663039
DHDDS,0.978250763
RPS6KA1,1.798973604
ARID1A,1.069978558
ZDHHC18,200608594.4
GPATCH3,9.408848263
NUDC,1.2763381
SLC9A1,1.000025591
WDTC1,0.831165204
MAP3K6,1.715045491
WASF2,0.202353738
AHDC1,9.61421358
IFI6,1.536752127
FAM76A,18.69508546
STX12,1.439645413
PPP1R8,1.274470385
THEMIS2,5.576653359
RPA2,342796692.4
EYA3,0.928704385
SESN2,2.432819665
PHACTR4,1.145806127
RCC1,2.98789376
TRNAU1AP,1.075491141
TAF12,1.015667885
GMEB1,1.064341
YTHDF2,1.374779329
EPB41,0.908490705
SRSF4,1.213485359
MECR,0.935241717
PTPRU,2.227668159
PUM1,1.292616118
SNRNP40,1.669008109
ZCCHC17,1.366291079
SERINC2,1.760834284
SPOCD1,87544195.54
PTP4A2,0.902917247
KHDRBS1,1.161950649
TMEM39B,3.796372166
KPNA6,2.47142892
TXLNA,1.20674986
EIF3I,1.005220886
LCK,1.122662219
HDAC1,0.777172175
BSDC1,0.94207059
ZBTB8A,0.842201769
ZBTB8OS,1.212241663
YARS,1.617813351
S100PBP,2.145401866
RNF19B,1.097903357
AK2,1.652444975
TRIM62,2.208700064
ZNF362,0.9518826
ZMYM1,0.458265928
ZMYM4,0.87856077
KIAA0319L,1.077884099
CLSPN,222072136.5
MEGF6,1.948512828
AGO4,1.391760499
AGO1,1.739423778
AGO3,1.242155067
MAP7D1,1.559163723
THRAP3,0.286062372
STK40,0.751357997
OSCP1,0.378101969
ZC3H12A,402558743.2
GNL2,0.562782659
INPP5B,1.459347721
SF3A3,3.767977764
DFFB,0.818534127
RRAGC,155630301.2
AKIRIN1,1.249714792
MACF1,1.021782175
BMP8A,2.008495646
PABPC4,0.372281848
TRIT1,1.031434016
PPT1,1.169997641
RLF,0.876604209
ZMPSTE24,0.965788483
SMAP2,0.707025292
EXO5,0.597341336
NFYC,1.066265614
CTPS1,1.04651964
SCMH1,0.979489164
HIVEP3,1.025546937
FOXJ3,0.881502197
C1orf50,1.231747863
LOC100129924,2243670163
SZT2,1.760515176
PTPRF,1.552147955
KDM4A,1.199701426
ST3GAL3,1.555073366
SLC6A9,0.641344548
KLF17,242844983.2
ERI3,0.921645872
KIF2C,5.871917138
PTCH2,0.750948709
EIF2B3,0.713188989
HECTD3,745713719.1
ZSWIM5,0.3469517
MUTYH,1.957857538
TESK2,0.997292356
AKR1A1,0.662842242
NASP,0.597936151
GPBP1L1,0.890638573
IPP,0.89891497
MAST2,7.477713549
PIK3R3,0.460405314
LRRC41,0.784877976
UQCRH,1.027514609
FAAH,0.807130951
MKNK1,0.721495163
ATPAF1,1.208208459
EFCAB14,1.27050028
CYP4B1,46026954.76
AJAP1,0.540889309
STIL,1.500976314
CMPK1,0.586360064
SPATA6,0.693628684
FAF1,0.682502536
EPS15,0.878167578
OSBPL9,1.043180545
NRDC,0.917363486
RAB3B,13547424.94
TXNDC12,0.12740919
ZFYVE9,0.286701642
ORC1,1.355776599
ZCCHC11,0.850358506
ZYG11B,0.815033249
SCP2,0.472065285
MAGOH,1.210116589
LRP8,166484354.4
NDC1,0.865781699
YIPF1,0.63836974
TMEM59,1.000245878
ACOT11,0.363820465
MROH7,1.449969859
TTC4,0.670259027
USP24,0.987153371
OMA1,1.386334942
MYSM1,1.564986323
NPHP4,3.677417023
FGGY,0.89244964
HOOK1,0.056856016
NFIA,0.420712689
TM2D1,0.442399042
PATJ,0.782509508
KANK4,0.638785249
ICMT,1.780086422
USP1,1.050916779
DOCK7,1.738125143
ALG6,0.106249725
ITGB3BP,1.463147076
EFCAB7,13.48363364
PGM1,0.63778182
ROR1,0.98188319
CACHD1,0.615754575
RAVER2,1.932087817
JAK1,1.566127835
NOL9,0.837528045
DNAJC6,0.583007563
LEPR,2.608008903
TAS1R1,1.826085056
PDE4B,3.295586333
DNAJC11,0.617545969
SGIP1,15.02832807
WDR78,0.849238234
MIER1,1.624948871
IL12RB2,1.270373016
CAMTA1,0.92924184
LRRC40,3.343317112
SRSF11,0.848947164
ANKRD13C,1.046801639
ACADM,0.861225979
ST6GALNAC5,2.54883632
PIGK,2.720456032
ZZZ3,1.169111751
USP33,0.785001538
VAMP3,1.139111414
MIGA1,1.006877176
FUBP1,4.221960978
PER3,1.21751436
UTS2,271752774.8
ADGRL2,0.468602406
PRKACB,1.00643718
SSX2IP,0.471521654
RERE,0.897115506
LPAR3,0.760610105
CYR61,0.662517731
COL24A1,0.778403303
SH3GLB1,1.484590032
HS2ST1,0.483904126
ENO1,1.282674915
PKN2,1.219449715
GTF2B,0.351380673
GBP3,1.100324202
GBP4,1.826085065
LRRC8C,0.691772895
HFM1,0.379126095
TGFBR3,2.156829143
BTBD8,0.372736696
GLMN,1.062650731
RPAP2,0.743870007
H6PD,1.112829003
EVI5,1.104906563
MTF2,1.427595946
CCDC18,0.534970246
FNBP1L,1.182527762
BCAR3,1.036491041
DNTTIP2,1541417382
GCLM,1.017951022
ARHGAP29,0.283202978
ABCD3,0.918147245
NOC2L,1.535115628
PTBP2,0.515626858
PIK3CD,1.168932115
DPYD,0.944106414
CLSTN1,1.131442651
CTNNBIP1,1.422112362
LZIC,0.745708103
PALMD,0.247210955
NMNAT1,1.015975291
AGL,1.575842255
GTPBP4,2.362330914
CHUK,1.671270011
CWF19L1,1.226600844
HIF1AN,0.738355709
SLF2,0.946259254
PDZD7,413186664.2
BTRC,2.006511991
POLL,0.227573837
FBXW4,1.15622278
MGEA5,0.954885428
C10orf76,0.928849777
LDB1,8.623869946
PPRC1,0.337293524
NOLC1,1.057369096
GBF1,1.161773924
FBXL15,1002266218
ACTR1A,7.352095282
SUFU,0.678168516
TRIM8,0.577269637
ARL3,4.408602784
WBP1L,1.302520784
AS3MT,0.528833961
CNNM2,1.132279083
NT5C2,0.69398277
TAF5,1.244378319
PDCD11,0.730880844
SH3PXD2A,1.62219907
OBFC1,3.359454262
SLK,1.273726505
CFAP43,1.940900597
GSTO1,1.389227967
WDR37,1.3467201
XPNPEP1,0.584920243
ADD3,0.890124691
SMC3,1.01985192
PDCD4,0.755568466
SHOC2,1.099097534
CELF2,1.68461078
VTI1A,1.557836787
TCF7L2,1.881981638
CASP7,2.417372372
NHLRC2,0.881282315
CCDC186,1.076933744
ABLIM1,1.719505467
USP6NL,0.660347019
FAM160B1,1.250862196
TRUB1,0.68083363
ATRNL1,0.354482436
GFRA1,0.583818369
HSPA12A,0.35174418
SHTN1,0.737240669
PDZD8,0.853616321
ECHDC3,0.499050847
RAB11FIP2,1.201214137
CACUL1,0.875190497
EIF3A,0.966353526
FAM45A,1.720843702
PRDX3,1262575067
UPF2,1.047036906
GRK5,0.961266381
RGS10,0.840173092
TIAL1,1.814195073
INPP5F,1.166851128
MCMBP,1.071046671
SEC23IP,1.10222696
PLPP4,3.279984601
DHTKD1,0.893987207
WDR11,0.64294097
FGFR2,0.845825986
ATE1,0.939211335
CDC123,0.865881508
BTBD16,45032873.86
PLEKHA1,0.449516232
HTRA1,4.256130917
CPXM2,1.141269339
CAMK1D,0.980558678
CHST15,2.445768104
OAT,0.804694617
LHPP,1.001422599
FAM53B,1.23574029
METTL10,1.713418962
FAM175B,1.155055025
ZRANB1,0.94108154
CTBP2,0.639620351
EDRF1,0.473128716
UROS,1.791442765
BCCIP,0.410599017
FANK1,1.690269231
ADAM12,3.268914089
C10orf90,1.72231534
DOCK1,1.038566104
PTPRE,1.641206137
MGMT,1.830006141
EBF3,0.342526088
GLRX3,3.008515652
OPTN,1.36750328
TCERG1L,0.579546772
MCM10,1.231950052
PPP2R2D,0.923788547
BNIP3,7.925044864
STK32C,1.063476231
INPP5A,0.571363144
PHYH,0.1752846
ADAM8,430248025.1
MTG1,3.567457704
CYP2E1,1.891302373
FRMD4A,1.334915001
FAM107B,1.441336961
HSPA14,2.524647533
DCLRE1C,2.902298112
NMT2,1.084048146
FAM171A1,0.299464302
ITGA8,0.606230959
FAM188A,0.965042761
PTER,0.898701383
RSU1,0.912871471
CUBN,0.745429598
TRDMT1,0.576582005
VIM,1.188010971
ST8SIA6,1.847785881
STAM,0.790375788
MRC1,2.213074311
ZMYND11,0.829811434
NSUN6,1.481217564
PLXDC2,1.118932219
NEBL,0.718553579
MLLT10,1.191294767
DNAJC1,1.470326383
PIP4K2A,0.865977156
KIAA1217,0.969630872
PRTFDC1,0.906947295
APBB1IP,0.937286033
PDSS1,0.797261988
ABI1,1.463770155
ANKRD26,1.020745076
YME1L1,1.066274852
MASTL,1.18285033
ACBD5,2.231459107
RAB18,2.854812576
MPP7,0.661212976
WAC,1.895173422
SVIL,1.14834582
KIAA1462,5.814310034
MTPAP,2.746321099
MAP3K8,1.819475573
DIP2C,1.498524891
PFKP,0.822662148
ZEB1,1.127343146
PITRM1,0.739429128
ARHGAP12,0.997594843
KIF5B,1.245364612
EPC1,1.118723282
CCDC7,1.098927951
ITGB1,0.542502555
NRP1,0.724704355
PARD3,0.623847809
CUL2,1.052402171
CREM,0.946303039
CCNY,0.620497837
ZNF248,2.896485918
CSGALNACT2,1.594307533
08-Mar,0.819461715
ZFAND4,1.356381832
TIMM23,0.891369224
NCOA4,0.856198643
PTPN20,1.682183814
AKR1E2,1.310401314
MAPK8,1.084123449
WDFY4,0.965777195
ERCC6,0.900772669
PARG,1.182643255
TIMM23B,0.894904048
SGMS1,0.667334862
PRKG1,1.211939123
FAM208B,1.161064984
GDI2,0.862603818
BICC1,1.022323695
FBXO18,2.059935374
FAM13C,0.417726315
IL15RA,0.941040558
CCDC6,1.057137533
ANK3,0.530638721
RHOBTB1,55020219.16
ZNF365,11.16513392
JMJD1C,1.312152744
REEP3,1.186143185
PRKCQ,1.053321853
SIRT1,1.446021871
HERC4,1.123601899
MYPN,0.471842285
PBLD,2.097555723
HNRNPH3,1.756540887
RUFY2,1.012768804
DNA2,0.978121868
SLC25A16,1.062125418
TET1,3.556752907
CCAR1,0.789013221
DDX50,1.06953402
DDX21,1.176911592
KIF1BP,0.228612964
SUPV3L1,1.190152998
HKDC1,5.068831809
HK1,2.115939063
TSPAN15,1.085837059
H2AFY2,1.078847418
AIFM2,0.765721849
SAR1A,1.001345598
PPA1,1.417581451
EIF4EBP2,46282235.46
PALD1,1.740175157
ADAMTS14,0.922455308
SGPL1,0.878821745
UNC5B,4.347952796
SFMBT2,0.919745477
PSAP,1.885927395
ASCC1,1.137872112
DNAJB12,0.721585632
MICU1,1.265499981
MCU,1.135301864
P4HA1,2.628058971
NUDT13,132107849.7
ECD,0.874064739
FAM149B1,1.116428065
CFAP70,0.460803534
ANXA7,1.901748599
MSS51,3.08080537
PPP3CB,0.988917408
USP54,1.386715962
SEC24C,0.652593323
CAMK2G,1.208421499
VCL,1.167016738
ADK,1.173002389
KAT6B,0.966771901
SAMD8,0.962612318
VDAC2,0.1858053
C10orf11,0.642316958
ITIH5,0.342281751
KCNMA1,0.604606234
KIN,0.875962013
ATP5C1,0.880554736
POLR3A,1.371352715
ZMIZ1,0.58341851
ANXA11,0.556603
FAM213A,3.454120617
TSPAN14,0.841200095
LARP4B,1.279292662
GHITM,0.347047995
CCSER2,1.195272028
WAPL,0.881297843
GLUD1,1.709565019
PAPSS2,1.069579756
ATAD1,0.627765236
PTEN,0.489832772
RNLS,0.325984003
STAMBPL1,0.782125644
ACTA2,2.193766089
LIPA,20.21635528
IFIT3,559872296
KIF20B,0.387943881
HECTD2,0.649159506
TNKS2,1.362150089
BTAF1,0.988481365
CPEB3,0.742653202
IDE,0.895945631
EXOC6,0.747905551
MYOF,2.084339859
CEP55,52750296.66
FRA10AC1,2.046672556
PLCE1,1.333657398
NOC3L,2.826191801
TBC1D12,0.939882996
CYP2C19,5.075603643
PDLIM1,1.251587469
SORBS1,1.072769261
ALDH18A1,0.861703404
TCTN3,3.499473518
ENTPD1,1.03145249
BLNK,1.116796831
TM9SF3,1.996600504
PIK3AP1,0.979534709
LCOR,1.484595788
SLIT1,6.989061564
ARHGAP19,2.638149247
RRP12,1.182171626
PGAM1,308154123
EXOSC1,0.993997569
MMS19,1.077582099
UBTD1,0.765234292
ZFYVE27,1.302410987
SFRP5,431392072
R3HCC1L,1.541769127
PYROXD2,2.65063081
HPS1,0.709618646
SLC25A28,0.68574651
DNMBP,0.674584373
ARHGAP42,1.303299031
TRPC6,0.35366868
YAP1,1.505583969
BIRC3,0.195079965
BIRC2,0.671195596
TMEM123,110233788.4
MMP12,1.488254351
DYNC2H1,0.969179655
PDGFD,0.312453933
MRVI1,1.156195339
GRIA4,12211757.1
MSANTD4,10.0884662
GUCY1A2,0.473011337
CWF19L2,1.051218093
CTR9,67628050.96
SLC35F2,1.137136963
EIF4G2,1.43133377
CUL5,0.992191829
ACAT1,0.79306072
NPAT,0.75972045
ATM,0.646243149
DDX10,1.442506676
ZC3H12C,0.740067652
RDX,1.009247122
POU2AF1,2.144678642
PPP2R1B,0.644672561
ALG9,0.870945574
DLAT,0.622300419
BCO2,0.831400404
GALNT18,0.820543367
USP28,0.889735583
NNMT,6.161877252
REXO2,2.682718541
NXPE1,1.023057415
CADM1,0.430936121
BUD13,1.230040846
ZPR1,3.263360008
SIK3,1.587239162
PAFAH1B2,1.070451443
SIDT2,1.823334339
RNF214,1.070487511
CEP164,0.514591589
IL10RA,4.113153483
UBE4A,0.665783736
KMT2A,0.637431206
IFT46,0.995314798
ARCN1,0.851089237
PHLDB1,2.613619257
DDX6,0.993509196
USP47,0.901458752
BCL9L,0.696055769
TRAPPC4,0.553563362
VPS11,1.160691271
HINFP,0.759786948
NLRX1,0.28268638
CBL,0.698268552
NECTIN1,1.447185041
ARHGEF12,0.85326294
GRIK4,5237628.18
TBCEL,1.057038177
TECTA,0.067463864
MICAL2,2.083036669
SORL1,0.975122007
UBASH3B,1.099669698
C11orf63,0.871142909
CLMP,2.11169995
MICALCL,0.637293772
GRAMD1B,2.345877443
VWA5A,0.609850584
TBRG1,245968489.7
SIAE,0.475927158
MSANTD2,110567577.7
CCDC15,0.556548927
PKNOX2,0.898920585
STT3A,1.180407135
CDON,0.555769493
FAM118B,0.849341147
SRPRA,6.440325566
FOXRED1,0.598845924
ST3GAL4,0.73108416
TEAD1,0.576918919
ETS1,1.823829646
TOLLIP,0.780079851
FLI1,1.131482571
ARHGAP32,1.230406044
NFRKB,0.750525023
PRDM10,2.517680264
APLP2,1.556078726
ZBTB44,0.977051148
SNX19,3.826452781
NTM,3.808011761
ARNTL,0.801033964
BTBD10,0.757109793
NCAPD3,0.195208668
VPS26B,0.272734134
SPON1,0.15942936
COPB1,1.495186419
PDE3B,0.629182092
CYP2R1,1.370948821
INSC,0.635351574
SOX6,0.695166366
PLEKHA7,0.805101527
PIK3C2A,1.184860847
NUCB2,0.746648551
CTSD,1.23602998
SERGEF,1.636311788
SAAL1,1.086841852
HPS5,1.091738748
GTF2H1,0.884754719
LDHA,2.758903829
LDHAL6A,47183508.78
UEVLD,0.610119952
TMEM86A,4.94558566
LSP1,1.30596682
ZDHHC13,0.672728622
NAV2,0.979682178
PRMT3,1.183399014
SIRT3,2.959134233
GAS2,0.497587689
PSMD13,2.366912733
CD81,1.669394596
LUZP2,40030341.78
KCNQ1,1.091586042
LGR4,1.705768995
METTL15,0.580381492
PGGHG,245593029.8
IMMP1L,0.972876815
RCN1,1.223360813
WT1,46884760.42
EIF3M,1.18803254
QSER1,0.723954055
TCP11L1,2.84825671
CSTF3,0.217617173
HIPK3,0.942646957
KIAA1549L,2.003525291
CAPRIN1,0.93038454
NAT10,1.659187151
ABTB2,1.335707247
CAT,3.863070596
EHF,337502214.2
APIP,0.840161937
PDHX,0.944992598
CD44,1.943581487
SLC1A2,10140323.62
LDLRAD3,0.631689725
COMMD9,0.642492498
PRR5L,1.802175966
TRAF6,4.479408576
C11orf74,1.279465375
NUP98,1.144391683
STIM1,0.680238873
TTC17,0.566389164
ALKBH3,0.178474196
TRIM21,127495748.3
EXT2,0.600367312
TP53I11,0.957608835
SYT13,37208801.84
CRY2,1.322154992
PEX16,7.99349301
PHF21A,0.897331762
CREB3L1,0.964964438
DGKZ,0.691504811
AMBRA1,1.179144036
ATG13,0.854010499
ARHGAP1,1.189594718
CKAP5,1.677233306
C11orf49,4.326166428
ARFGAP2,1.078702805
NR1H3,1.637319439
MADD,0.986407601
SPI1,1.09743403
SLC39A13,1.970246935
PSMC3,1.567524478
RAPSN,1.918567265
CELF1,1.387205325
AGBL2,21.42800034
FNBP4,1.025880827
NUP160,0.547313733
PTPRJ,2.886690411
OR4B1,1207572747
TRIM5,0.109761567
TRIM22,1.169974549
LRRC55,2.992894557
SLC43A3,2.246207761
SLC43A1,0.74435787
ZDHHC5,1.999283763
CTNND1,0.503431752
LPXN,4.34181925
OSBP,2.302792715
PATL1,0.949603705
STX3,1.147191486
MS4A2,1735016492
MS4A6A,0.868146684
MS4A7,1.081327151
TMEM109,0.527956014
VPS37C,1.568774633
VWCE,0.350271224
DDB1,0.971582408
CYB561A3,0.475050993
TMEM138,0.739837505
CPSF7,3.317504143
SDHAF2,1.009562679
DAGLA,0.563430966
FADS2,0.845175107
RAB3IL1,1.631079962
ASRGL1,0.497292755
AHNAK,2.021645844
EML3,1463035913
GANAB,0.98877217
HNRNPUL2,1.796012865
TTC9C,0.708762122
TAF6L,0.618274863
STX5,0.421081819
WDR74,0.903446675
SLC3A2,0.762952979
ATL3,1.378798483
MARK2,2.0315712
NAA40,1.762332726
MACROD1,2.330263766
STIP1,1.881908038
CCDC88B,2.214613818
NRXN2,0.820273109
RASGRP2,0.552878728
PYGM,2.667826561
MAP4K2,0.570683914
EHD1,2.276939959
ATG2A,200289930.9
DNHD1,2.656711609
BATF2,7.656779806
CAPN1,3.197714811
FRMD8,1.268841486
PCNX3,0.299691204
SIPA1,3.652170122
RELA,2.365875106
CFL1,57524105.24
EFEMP2,239445476.8
EIF1AD,0.910697514
SF3B2,0.854736651
PACS1,0.876167046
DCHS1,49586592.68
DPP3,0.8229574
BBS1,1.788227492
