gene,fc_1,fc_2
EFCAB14,2.401928433,1.887028326
FAF1,1.388578613,2.310600297
RNF11,2.669554858,1.002889921
CMPK1,2.106854948,1.531290597
EPS15,1.528442852,1.547835062
TXNDC12,1.164210583,3.144290405
CC2D1B,2.243136185,2.468354639
PRPF38A,1.604089872,1.109963164
BTF3L4,0.953548578,1.352851538
ZFYVE9,1.905484217,1.483465696
SELRC1,1.873438398,1.885851277
ZCCHC11,1.638319626,1.337595896
ZYG11B,1.88177989,1.495819979
ECHDC2,0.338389594,0.347558786
CPT2,0.573859985,0.477265883
C1orf123,4.595492477,2.644303152
HSPB11,1.759859478,0.835410547
MAGOH,2.162226607,2.653200242
YIPF1,1.540878082,1.176888324
TMEM48,0.75638261,1.57893245
LRRC42,3.368567172,2.157461789
OSBPL9,4.046489447,4.301786665
NRD1,2.33479635,2.638921839
MRPL37,1.733443352,1.296943495
SCP2,0.620248928,0.612717897
TMEM59,1.123825503,0.668760423
TTC4,3.096842265,2.28304635
OMA1,1.934114789,1.548308664
DHCR24,0.143631047,0.224670993
USP24,2.040730297,2.186099488
MYSM1,1.37382301,0.867487995
JUN,2.091514987,1.839974033
HOOK1,0.00516789,0.006639595
FGGY,2.085120642,0.632125692
TM2D1,1.83089018,1.569216118
NFIA,0.997999857,0.393257855
INADL,0.472007023,0.238048802
USP1,0.71660267,1.694222586
ITGB3BP,1.599562919,1.997470556
PGM1,10.99445603,5.75986835
DOCK7,0.845108343,0.690275841
JAK1,32.31514682,30.91945605
AK4,0.398286622,0.402895542
LEPROT,3.220463322,4.03608624
GADD45A,14.76578439,14.29084017
MIER1,1.896100459,2.996651357
LRRC40,0.904684504,1.092367042
GNG12,2.544064753,2.773766205
ANKRD13C,1.566027286,1.391427044
SERBP1,2.348437865,2.136240251
SRSF11,1.368658522,0.980107549
FPGT,0.802092037,0.701803052
ACADM,0.364429443,0.582863178
CRYZ,0.499957901,1.525848887
TYW3,0.668725032,0.785091067
PIGK,2.443786879,2.153203324
ZRANB2,1.457385176,1.756775413
RABGGTB,2.01507176,1.504527811
ZZZ3,1.792951359,1.748410437
DNAJB4,3.34257051,1.80210359
FAM73A,2.400639721,0.846457348
FUBP1,1.590505764,1.656573631
IFI44,174.0783101,2.346569058
USP33,2.07151832,1.53247389
TTLL7,1.492857048,0.354059166
CTBS,3.62933653,1.140002098
RPF1,2.084118305,1.156571858
GNG5,3.271874145,0.421777219
LPAR3,1.121140385,3.458214901
PRKACB,3.114916718,0.060346867
SSX2IP,0.811347019,0.524713829
BCL10,3.124182184,2.481651154
ODF2L,2.534570464,1.352938283
HS2ST1,4.646906704,4.574636422
LMO4,2.048802313,5.934694964
Sep-15,2.204267488,2.115320016
SH3GLB1,2.299292508,5.740900002
GTF2B,1.134937534,1.025752705
PKN2,1.065930861,1.098703898
CCBL2,1.22757303,1.29312682
ZNF326,0.626964122,0.439530397
LRRC8D,2.964541746,1.364380533
ZNF644,1.435134568,0.975136154
GLMN,1.395445268,0.496655486
RPAP2,1.811278821,0.822369529
EVI5,3.083580231,1.635620711
MTF2,0.893562473,1.001629255
LOC100131564,10.31304851,2.753151979
DR1,1.420323772,2.627036347
TMED5,1.293193931,1.960778522
FNBP1L,0.487170902,0.481005087
DNTTIP2,3.191085316,2.073162384
GCLM,14.33755754,14.91091649
RPL5,2.483826265,3.460094858
FAM69A,9.270968487,4.653204397
BCAR3,26.30474726,62.34925946
ABCD3,1.078994503,1.503631569
ARHGAP29,4.495822766,0.721993314
ALG14,0.977653101,0.664394809
SLC44A3,0.231653869,0.317264995
PTBP2,1.769607951,1.00683095
RWDD3,1.414572678,1.744955958
SNX7,1.057133835,2.782122638
FRRS1,0.006587977,0.016733998
HIAT1,1.866233827,1.03990741
TRMT13,1.986329053,2.315273603
SLC35A3,0.855132086,0.427997856
DBT,0.56972285,0.271541935
AGL,0.941218806,1.064239314
RTCA,2.671485721,1.31926685
DPH5,1.996744224,1.731841386
PRMT6,0.688777088,0.519241265
SLC30A7,3.123746075,2.971833791
PRPF38B,2.067695658,1.501282155
STXBP3,1.329827687,0.995672292
SLC25A24,3.79668171,4.009144082
TAF13,4.798677921,1.970783286
CLCC1,1.167208798,1.367195578
WDR47,1.702639483,1.34774255
TMEM167B,3.442134482,3.167899733
SORT1,3.726807039,5.474593845
SARS,1.550855446,3.193705862
PSMA5,1.939988773,2.049651681
GNAI3,1.841180462,2.313742136
AMPD2,4.927835177,2.379030402
STRIP1,2.269574185,1.558246654
RBM15,1.248230151,1.480889087
LAMTOR5,1.675304521,1.321274379
AHCYL1,1.815883122,1.358823994
LRIF1,2.073800789,1.732023611
DRAM2,1.44319748,2.183112181
CEPT1,1.089604206,1.110380897
RAP1A,3.024460622,1.626901377
WDR77,3.278751484,2.086115404
ATP5F1,0.986309574,0.92646182
CTTNBP2NL,5.517877328,0.833599536
ST7L,1.981400454,1.139328049
MOV10,3.899906385,1.172903744
CAPZA1,2.283443879,1.650959758
RHOC,1.8048713,1.28957954
MAGI3,0.391059943,0.210408651
BCAS2,3.616179279,1.630854457
SLC16A1,4.451484035,2.435281806
TRIM33,1.052869528,1.106791736
HIPK1,1.320983135,1.238911131
NRAS,3.681643828,2.539706427
SIKE1,2.26394984,1.567530173
VANGL1,1.660634875,1.220580597
MAB21L3,0.674483495,0.536372995
CD58,3.141749406,3.964876527
PTGFRN,3.814700421,1.557075789
MAN1A2,1.910987391,2.3445265
WARS2,1.030871389,0.933368074
GDAP2,2.577229358,1.841510039
WDR3,3.341364842,2.292327601
HMGCS2,4.33E-08,8.16E-08
ATP1A1,1.603395084,2.479458797
PHGDH,2.059058977,2.342615018
HIST2H2BA,0.237815045,0.745558189
SRGAP2D,1.693039229,2.53848427
NOTCH2,8.292828354,3.842097732
PFN1P2,1.879703157,0.944641069
CSDE1,2.3319758,1.48128525
NBPF9,2.489862132,1.758670637
SEC22B,3.843255924,2.293378531
NOTCH2NL,2.112897123,1.002156008
PDE4DIP,3.010169862,7.642166931
POLR3GL,1.660972814,1.68158555
RBM8A,0.663073586,1.296026866
GNRHR2,0.322518561,0.675457485
POLR3C,1.378872293,2.47552387
PIAS3,1.008615355,1.092298788
RNF115,2.005517053,2.663501546
PEX11B,0.776932897,0.976341046
GPR89C,1.108328735,1.472987757
GPR89A,1.186354132,1.496837475
TXNIP,1.338703346,1.687991736
NBPF10,1.849402444,1.24252352
PRKAB2,2.412873121,5.402870402
NBPF24,1.61562303,1.191658824
ACP6,1.954165563,1.281831838
GPR89B,1.076634079,1.371348513
CHD1L,1.258763445,1.931057917
NBPF14,2.001008056,1.391648591
LOC645166,1.981245787,1.461109299
NBPF16,2.039149028,1.573932537
NBPF15,2.263901587,1.976091612
HIST2H2BF,0.192923062,0.759654673
HIST2H3D,0.210245775,1.471191921
HIST2H4B,0.267153011,1.497157711
HIST2H2AA4,0.295150839,0.967866182
HIST2H2AA3,0.290642113,0.914540901
HIST2H2BE,0.219644384,0.415294539
HIST2H2AB,0.144861772,0.896894923
HIST2H2AC,0.251817857,0.720623823
BOLA1,0.906252751,1.12709812
SF3B4,1.573531972,2.206316247
OTUD7B,0.834868386,1.065772233
VPS45,1.09193536,1.261648669
MRPS21,1.567975665,1.514524816
PRPF3,0.935598794,0.903276818
TARS2,1.542165705,1.516292599
APH1A,0.828293763,1.35402195
GOLPH3L,0.997285673,0.443413958
SETDB1,1.259514547,0.992016772
ARNT,1.414482496,1.228669207
ENSA,13810312.23,0.811858459
CERS2,1.421383064,1.243601018
MCL1,1.787536622,2.555633348
MLLT11,10.53454468,5.26317514
VPS72,1.561789529,1.763890261
SCNM1,2.342102138,3.394923098
PSMD4,2.127533315,2.506899175
CDC42SE1,0.662921201,0.863051835
SELENBP1,0.043679245,0.005681904
PIP5K1A,1.086487543,1.585228879
RFX5,2.549041051,0.787637789
PI4KB,1.480487214,1.416308308
PSMB4,1.382223369,1.734492019
POGZ,0.822366037,0.844251897
SNX27,1.355716826,1.76906963
TUFT1,0.932741075,0.997740274
MRPL9,1.743382949,2.070987823
TDRKH,1.065848715,0.590095635
S100A11,3.105472309,6.44874114
INTS3,1.047691237,0.712551599
S100A13,1.139590649,2.603749702
CHTOP,1.282073887,1.510836744
SNAPIN,0.869778277,1.035236584
ILF2,0.527271533,0.868841873
RAB13,1.416528125,2.853469454
SLC39A1,0.655085318,1.990286097
JTB,0.841405499,1.669421822
CREB3L4,0.068625634,0.126209769
RPS27,1.185470555,1.479523825
HAX1,0.789785574,1.685652408
UBE2Q1,1.124376234,1.791006694
C1orf43,0.751032571,1.068529168
UBAP2L,1.852952957,1.58855545
PMVK,0.41371534,0.706085153
TPM3,1.479364674,1.881786196
PYGO2,1.008751774,1.169926502
PBXIP1,2.369604132,2.080985695
CKS1B,0.488314163,4.400532235
FLAD1,1.071600763,1.386795825
ZBTB7B,0.713822009,0.477983212
ADAR,1.500702944,1.40435952
EFNA3,0.152126167,0.063773766
DPM3,0.887099478,1.560300188
EFNA1,0.205035278,0.206090318
KRTCAP2,1.435842629,2.27199662
SLC50A1,1.07676295,1.181093228
THBS3,1.620602666,1.191930724
MTX1,1.653297402,2.194391926
CLK2,0.817827829,0.514430418
SCAMP3,1.785805062,2.356895642
GBA,2.144304607,3.679680097
SHC1,2.576167347,3.284941992
ASH1L,0.865388325,0.874611634
FDPS,0.296903985,1.61632765
RUSC1,0.607735581,1.500243655
MSTO1,3.991198103,1.506747541
DAP3,3.326669016,1.537975361
GON4L,1.904493646,1.281499519
RIT1,1.325775075,1.369491255
KIAA0907,2.843014796,2.485716061
YY1AP1,3.005682529,1.312176447
EFNA4,0.375045011,0.347474392
ADAM15,0.505905695,0.474711562
UBQLN4,1.046012302,1.296180514
LAMTOR2,1.024264401,0.714836239
SSR2,1.224353095,2.164369106
RAB25,0.467539826,0.000767729
SMG5,1.675227086,2.362941009
C1orf85,1.255268641,1.785311874
APOA1BP,0.881551248,1.083750134
PMF1,1.411721849,1.509802883
ISG20L2,1.644277969,1.577901927
RRNAD1,1.694213476,2.243618492
MRPL24,2.175607908,2.31595506
LMNA,2.445411367,6.509139487
CCT3,1.352599199,0.818879906
PRCC,1.494167345,1.355654705
ETV3,1.389955742,1.403522124
HDGF,1.58953044,3.12851619
DUSP23,1.174265491,1.345298713
PIGM,0.486949703,0.528478042
PEA15,3.51291088,5.472223617
IGSF8,2.685285115,1.851967588
TAGLN2,1.460271779,12.72994858
DCAF8,1.205252876,1.008264831
PEX19,1.888190568,0.874155594
TSTD1,0.266606794,0.196861364
KLHDC9,0.070110464,0.111833787
PVRL4,0.216189623,0.007945926
USF1,1.000949115,1.061630472
F11R,0.481256956,0.302829041
UFC1,0.938992108,1.128859992
PPOX,1.168996904,0.684867259
COPA,1.623583392,2.479774406
NCSTN,1.694371932,1.665195894
B4GALT3,1.149517439,1.261674777
NDUFS2,0.627129969,1.045967236
PFDN2,3.928051677,6.70099488
DEDD,1.277940158,1.833608644
NIT1,2.124926043,1.539632308
TOMM40L,0.337022611,0.644902347
SDHC,0.923150065,1.003929065
DUSP12,1.364092569,2.787244393
ATF6,1.280200923,2.097274622
HSD17B7,0.265443631,0.377424667
UAP1,2.262329155,2.128987404
MGST3,2.092819827,1.245408903
ALDH9A1,0.452252062,0.381665654
UCK2,0.86527085,2.690978173
TADA1,0.577793045,0.72067443
UHMK1,1.179799894,1.296219173
POGK,1.123992698,1.403883145
TMCO1,0.848654172,1.155051594
CREG1,1.979535266,1.582916074
MPZL1,1.287275886,1.238107946
SFT2D2,1.05114207,0.429818494
ANKRD36BP1,0.885784078,0.450592824
TIPRL,1.314382575,2.149106262
MPC2,0.126583865,0.264231254
DCAF6,0.716910697,0.454553133
SLC19A2,0.81615078,0.700580703
METTL18,1.420933352,1.2009005
BLZF1,1.383350078,0.952286771
ATP1B1,2.759815621,0.12708982
NME7,3.954904191,1.049094683
KIFAP3,0.518458753,0.97534249
VAMP4,1.304194078,2.871634537
PIGC,1.567622165,1.656285675
PRRC2C,1.372899682,1.877380595
SUCO,0.584436442,0.663609808
KLHL20,1.797098196,0.674080522
DARS2,1.373779934,2.652490644
PRDX6,1.861095712,0.801116639
ZBTB37,0.337834601,0.299486878
MRPS14,0.633628812,0.846298215
CACYBP,1.63632432,1.522099681
RABGAP1L,0.921817245,0.659968611
GAS5,2.443935847,3.536455694
SNORD44,2.583397216,2.431446464
SNORD75,3562107127,0.462542844
RFWD2,1.467133999,1.978513209
RALGPS2,0.448475737,1.998953107
TOR3A,0.632757442,1.643081384
FAM20B,1.211706746,2.724845307
SOAT1,2.221439702,4.838532587
TOR1AIP1,1.021424872,0.729338144
TOR1AIP2,2.932178724,1.962510641
CEP350,1.582914388,1.921924634
ABL2,6.415581604,8.58043568
ACBD6,2.279373528,2.321325044
QSOX1,28.30331493,7.942516417
FLJ23867,6.505510027,2.448699872
XPR1,2.435814357,3.212907176
STX6,1.186294197,1.344186216
DHX9,0.691124652,0.826522203
LAMC1,2.512795857,3.390503537
GLUL,0.561773439,0.84535241
TSEN15,0.878340775,3.003473016
EDEM3,0.743504032,1.792243684
ARPC5,1.661441183,1.709894781
RNF2,0.92261834,1.481837649
FAM129A,3.759664699,123.8055076
TRMT1L,2.195166605,1.686294844
IVNS1ABP,1.016907338,2.368601007
GLRX2,0.899558038,3.505870844
TPR,0.787108182,1.217735452
C1orf27,0.649704938,1.075174627
CDC73,0.738777159,1.108412679
ZBTB41,0.305142866,0.455969474
DENND1B,0.152520231,0.0751889
NEK7,0.66746125,1.635800293
TROVE2,0.805687575,1.476289635
DDX59,0.709998083,1.622198898
ZNF281,2.816849612,4.634002562
TMEM9,0.904260559,0.83408429
CAMSAP2,1.134362889,1.094626064
LAD1,0.000000053,3.47E-08
PHLDA3,2.775913563,0.947388426
CSRP1,2.644574205,1.684644359
TIMM17A,1.254458977,1.340092698
RNPEP,1.133575144,0.820945605
UBE2T,0.307910696,0.960236564
ARL8A,1.161073914,1.072695717
ELF3,0.021616105,0.027210533
KLHL12,1.482121088,1.097899194
KDM5B,3.359111751,0.91805352
CYB5R1,0.718540189,0.661714682
ADIPOR1,1.505310365,1.597814598
BTG2,0.311062972,0.044422359
TMEM183A,0.616382255,0.811068858
SNRPE,0.887921374,1.240372467
ATP2B4,12.07001375,1.590781512
ZC3H11A,1.29814143,1.476483367
ZBED6,0.921312586,0.69524759
PPP1R15B,1.22879086,2.306383917
RBBP5,3.009306088,2.737544549
MDM4,1.040925701,1.627933135
SLC45A3,0.153651314,0.176120985
ELK4,1.672702388,1.739009134
SLC41A1,5.731487469,1.647130085
RAB7L1,2.510541814,1.49376283
NUCKS1,0.298593858,0.567133383
SRGAP2C,1.698539661,2.765615393
EIF2D,3.001007737,3.480824583
MAPKAPK2,4.447292926,2.497101637
YOD1,0.530992199,0.991330448
PFKFB2,0.617358417,0.661533258
C1orf116,0.003721259,0.004441834
CD46,0.437292758,1.018139518
C1orf74,1.816504058,1.248919138
LINC00467,0.896248027,1.587509248
RCOR3,0.856883963,0.695410016
SLC30A1,1.729551354,2.248998987
LPGAT1,0.946366619,3.139282167
TMEM206,4.267067839,3.716839548
NENF,1.853534907,1.259236796
PPP2R5A,1.141438062,1.180528105
ANGEL2,1.157006516,2.107123293
IRF6,0.092587264,0.024295857
RPS6KC1,2.251942483,1.977898769
KCTD3,0.411511194,1.03703124
PTPN14,11.26748425,4.755189927
GPATCH2,1.207102458,1.080282731
LYPLAL1,1.084808699,0.765948441
C1orf115,0.080697398,0.038162219
RAB3GAP2,1.621331514,1.386720202
DUSP10,5.08285601,9.157296321
MIA3,0.926175711,0.403867317
AIDA,1.804271254,0.087401578
BROX,1.501235889,0.592058871
EPRS,1.281519465,2.313213986
BPNT1,0.749973674,1.017655358
IARS2,0.765694802,1.354182361
DEGS1,1.909435172,0.400021931
CNIH4,1.093517289,1.879956737
FBXO28,1.646321025,0.756257526
NVL,0.66353932,0.412578855
DNAH14,1.03793519,2.683457303
LBR,0.869121635,2.992470755
CAPN2,121.9637252,22.05822453
WDR26,2.415038039,1.259952912
ENAH,2.889478088,2.513943865
EPHX1,6.955042647,0.372155183
PYCR2,1.099549567,1.782270528
SDE2,1.009850192,1.335088233
SRP9,0.779440946,0.895111941
PARP1,0.297984939,0.599580822
ADCK3,0.681638673,0.311895427
PSEN2,0.971668031,0.590208403
ACBD3,1.587927472,2.132654816
SNAP47,1.764640274,1.121435024
JMJD4,1.29210533,0.945027326
CDC42BPA,1.89167509,1.279880076
C1orf35,0.77340105,1.430458948
MRPL55,1.55236083,1.539365679
TRIM11,0.853608717,1.48606908
GUK1,3.229385533,1.875465744
RNF187,1.553177344,1.097496633
RAB4A,0.318971151,0.523221026
NUP133,0.752255412,1.388605652
ABCB10,0.695262851,1.550745469
TAF5L,1.00925167,1.552325334
ARF1,1.527594015,1.993353989
ARV1,1.432365225,0.468595776
COG2,1.615289923,1.677716453
GALNT2,7.782120475,1.626342482
C1orf198,1.205192177,0.971757989
EXOC8,1.186213095,1.778733252
C1orf131,0.523451731,1.103496162
GNPAT,1.350979753,3.039130791
EGLN1,0.948683769,1.964905238
NTPCR,1.656156511,1.569738828
COA6,2.569045074,3.004020334
TARBP1,3.296322255,0.904194216
TSNAX,1.172347093,0.906276551
IRF2BP2,0.882201267,3.17290361
RBM34,1.546971142,2.098205079
TOMM20,1.077381792,1.631453687
GGPS1,1.001589579,1.031818163
ARID4B,0.6695211,0.753241779
TBCE,2.232520481,2.890837988
B3GALNT2,0.727705901,1.38490113
GPR137B,1.870511853,0.985961565
MTR,1.125555135,1.319279668
FH,0.506611522,0.958593921
CHML,3.982183354,3.533580826
LGALS8,1.686782801,1.781235993
HEATR1,2.415678329,3.522129853
CEP170,3.237619176,2.062958775
SDCCAG8,1.727109696,1.577892538
ADSS,1.972786158,2.593831145
DESI2,3.087497355,7.693680228
HNRNPU-AS1,0.600848128,0.883377801
TFB2M,0.696525941,1.223384659
SMYD3,0.912745285,0.586244357
CNST,0.661602609,0.823946238
SCCPDH,1.501008157,1.52379566
ZNF124,0.649958727,0.677746492
AHCTF1,1.038240501,1.766808791
HNRNPU,0.790639467,1.177211087
SH3BP5L,0.9016904,0.948995733
ZNF672,0.763955029,1.01557597
ZNF692,1.757712648,1.166658432
TMEM18,0.844959362,1.291488347
