gene,fc_1
SNORA71A,1.165442795
AC009404.2,0.13381372
RP11-276E15.4,0.158629714
RP11-337C18.8,0.282109879
AP000320.6,0.263788714
TTTY15,2611.195438
AGAP1-IT1,2.338316736
IDH1-AS1,0.167489263
RP11-567G11.1,7.677656845
AC002467.7,0.235044822
RP11-269F19.2,0.220702169
RP5-1073O3.7,0.123496988
RP11-98G7.1,0.547528306
AC073046.25,1.136230611
ZEB1-AS1,0.061719303
RP11-247I13.7,0.61509461
RPS10P7,0.442404333
AC019221.4,1.774062825
ENO1-AS1,0.102083508
RP11-312B8.1,0.065374703
TRAF3IP2-AS1,1.988620295
RP11-27I1.2,0.661588306
RP5-1092A11.5,1.677390476
AC004854.4,0.139967426
XXbac-BPG254F23.6,0.027249303
RP11-545E17.3,0.086711747
RUSC1-AS1,0.156084877
MIR497HG,0.531691696
RP11-319F12.2,0.405594475
XXyac-YX65C7_A.2,0.322140234
CTD-2619J13.14,0.344947985
HYI-AS1,0.262559483
RP4-614O4.11,0.417206069
RP11-170M17.1,0.366412227
RP11-398F12.1,0.364260867
RP11-325F22.3,0.634518717
RP11-7O11.3,0.364666014
RP11-125K10.4,0.425985146
HCG16,1.157326723
AF196972.9,6.32E-08
GS1-124K5.4,0.217875814
CTA-211A9.5,3.333756088
SDCBP2-AS1,0.149624576
AC079767.2,0.46049827
NPPA-AS1,0.759342011
MCF2L-AS1,0.099417734
AP001469.9,0.918557515
RP11-18A3.4,1.497464525
TTTY14,246.0412663
RP11-54O7.1,0.596693496
SNORD57,1.192522564
AC093375.1,6.768127866
AC092295.7,0.436470377
RP4-666F24.3,0.880394589
AP001062.7,1.229888806
MIR600HG,0.433851062
COX10-AS1,2.958217989
RP11-126H7.3,0.139594169
AC092620.2,0.961137876
AC093734.13,0.372628294
TOPORS-AS1,0.213664587
RP11-432J24.3,0.007553819
CTA-150C2.13,0.005332162
RP1-90J20.7,0.157494068
RP11-656D10.3,0.118142668
AC142528.1,0.163161989
RP11-508N12.4,1.071822251
RP11-24O6.2,2.013755859
RP11-358L16.2,0.488028557
AP006309.4,0.281185147
PINK1-AS,0.90079579
MAST4-AS1,0.180459541
RP11-119B16.2,0.108430471
RP11-455B2.7,0.173657817
RP11-706O15.5,3.13E-08
RP5-827C21.4,0.056692429
RP11-240D10.2,0.302151861
RP13-131K19.2,0.287701074
RP11-342C23.4,1.951361672
RP1-90G24.6,1.057530882
RP11-483F11.7,0.04346022
TSTD3,0.216732508
AC002117.1,0.483525767
RP4-533D7.5,0.01431249
ASH1L-AS1,0.084285685
RP11-307C12.11,0.073470643
AC062029.1,0.053226786
AC007040.11,0.644524582
RP1-180E22.3,0.467754238
SEC22B,0.31376496
RP11-325F22.4,0.038310589
RP5-884G6.2,0.314179168
CTB-104F4.2,0.634518474
RP4-697K14.12,0.180645981
ZNF888,1.170020052
GS1-421I3.2,0.047135712
RP11-204M4.2,0.106398009
RP11-134G8.7,0.255266213
CASC2,0.086019337
AC005154.5,0.203137365
LINC00263,0.099682754
RP11-426A6.7,0.873763527
RP1-37E16.12,0.379538101
AL022341.3,0.052511939
RP11-126K1.6,0.066403166
ARL5B-AS1,0.414199835
RP11-202P11.1,0.040835439
RP5-1158E12.3,6.85E-08
RP11-48F14.2,6.281711471
RP11-327P2.5,0.09827568
RP11-157P1.5,0.001159299
ST7-AS1,0.0579029
RP1-80B9.2,0.102585007
AF129075.5,0.830122128
AC002310.12,0.022709919
RP11-479I1.4,0.715275959
AC104809.4,4.99E-08
GAS6-AS1,8.98E-08
RP5-1024G6.5,0.124475026
RP11-67L3.6,0.167308595
LINC00667,0.005203813
AC007009.1,0.161513942
RP11-467H10.2,0.094422482
C17orf76-AS1,1.554508357
ATP6V0E2-AS1,0.585074959
XXbac-BPG32J3.20,0.365714485
SNHG12,0.75403728
RP11-298P3.4,1.937854307
RP11-85F14.5,0.295654861
RP4-798C17.6,0.21041041
AC093627.9,0.467530673
RP11-413E6.8,1.89E-08
MYLK-AS1,0.108307116
TIPARP-AS1,0.647946133
RP11-475N22.4,0.158796647
RP11-81N13.1,0.198177722
PRKAG2-AS1,2.814072528
RP11-380O24.1,0.605278474
RP11-446H18.3,0.337673798
SETD5-AS1,0.386443584
RP11-293A21.1,0.111733341
RP11-262H14.4,0.164335858
ARHGEF26-AS1,0.3094501
RP11-18H7.1,0.135810446
RP11-85M11.2,1.32E-08
RP11-167H9.6,0.51495278
RP4-773N10.5,0.525309024
AC002116.8,0.277602056
RP11-967K21.1,0.07050213
LINC00115,0.151639294
RP11-18I14.10,0.511871756
SEPT7L,1.818952633
RP11-203J24.9,0.184173869
XXbac-B461K10.4,0.524646455
HOXA11-AS,11.6464618
CTC-498J12.1,1.253561941
RP5-1121A15.1,0.331080101
RP11-2C24.4,0.107484652
RP11-231E6.1,2.262193706
SYNPR-AS1,123.087926
RP11-155D18.12,0.583950118
RP11-206M11.7,1.33E-09
AC005484.5,0.093444614
CTD-2377D24.4,0.26315841
RP11-34P13.8,1.420111446
TMEM161B-AS1,0.134861586
RP11-711M9.1,1.494380164
RP11-314A20.2,0.012281031
RP11-90K6.1,103.2102815
RP5-1042K10.13,0.485777897
RP11-286H14.6,0.307178365
CTC-463N11.3,0.306479141
RP11-453E17.1,0.772445786
RP11-279F6.1,0.978037865
RP11-677M14.7,0.918653377
CTB-131B5.4,0.188758369
RP11-10O17.2,0.662511608
RP11-367J11.3,0.03823344
GABPB1-AS1,0.367224668
CTC-228N24.3,0.099184564
RP11-323F5.2,0.64220474
CTD-2366F13.1,0.124150306
DNAJC3-AS1,0.044197282
KB-431C1.4,5.365230582
CTD-2514K5.2,0.012522967
NEAT1,0.724070131
CTD-2339L15.1,0.40707203
RP11-877E17.2,3.143526178
RP11-705O3.1,0.193716679
RP11-115C21.2,0.037148265
CTC-281B15.1,0.282759014
SNHG10,0.115227866
RP11-32B5.7,0.811026427
RP11-727A23.5,0.422130279
RP11-18C24.6,0.08541603
RP11-11N9.4,2.34E-08
RP11-1149O23.3,0.059510385
RP11-10K16.1,4.883906044
RP11-30K9.6,0.183791677
OIP5-AS1,0.497485659
SOCS2-AS1,0.146489041
RP11-113K21.5,0.323414637
CTD-2003C8.1,0.136110328
RP11-159H10.3,2.055765146
CRNDE,0.306895708
RP11-57A19.2,0.151443687
CTD-2653M23.2,0.479708433
AP001258.4,0.32803196
RP11-932O9.7,0.135496236
LINC00847,0.019301283
RP11-480D4.3,0.486059545
LRP4-AS1,0.028496379
RP11-308B16.2,2.52E-08
ZBED3-AS1,0.786495803
RP11-136K7.2,0.018284457
RP11-458I7.4,1.742041401
CTC-338M12.6,10.86937286
RP11-499E18.1,0.017293616
USP46-AS1,0.33544937
RP11-440L14.1,0.347770452
RP11-359B12.1,0.700668984
RP11-597D13.9,0.758243927
THAP9-AS1,0.303553027
SCARNA22,2.518848327
CTC-504A5.1,3.236847283
RP11-37B2.1,2.227519512
RP11-521C20.4,0.247470125
RP11-834C11.5,0.075015817
RP11-141O11.2,0.873629961
CTD-2015H6.3,0.134277346
RP11-521B24.3,0.211584824
RP1-5O6.6,0.504026641
RP11-267A15.1,1.967610194
RP11-725D20.1,3.98E-08
CTB-129O4.1,0.827506261
RP11-319G6.1,0.417363642
PVT1,0.966851758
RP11-510N19.5,0.367535606
PART1,2.422783145
RP11-420A23.1,0.370822496
SNORA58,2.356779449
RP11-276A18.2,0.851827692
NOP14-AS1,0.54800714
RP11-158I13.2,0.471937132
RP11-540D14.6,0.14413668
RP11-330M2.7,0.108536154
AF146191.4,0.052009795
CTD-2194D22.3,0.056581321
CTD-2203K17.1,0.077498523
RP11-294O2.2,2.355400447
CTC-329D1.2,0.055781904
RP11-549K20.1,0.819443852
RP4-639F20.3,0.221120258
RP11-124N2.1,0.237416637
RP11-298J20.4,0.558893151
RP11-328K4.1,11.66202351
RP11-529H2.2,2.808994055
RP4-671G15.3,0.446644584
MALAT1,1.191728902
RP11-610P16.1,0.176833124
CTC-338M12.5,0.37629536
RP11-152P17.2,9.09E-09
RP11-39E3.6,229.5330702
RP11-1007I13.4,1.78E-08
RP11-219G10.3,9.97E-08
AC007036.5,1.284608577
RP4-785G19.5,0.866940327
RP11-46C20.1,2.21E-08
RP11-98D18.3,0.543873384
RP11-974F13.6,0.114271289
RP11-397D12.6,0.309421746
HOXC-AS1,0.033395784
RP11-152N13.11,0.58570948
RP11-425I13.3,0.119115475
HOXC-AS5,0.035200932
RP11-539L10.3,0.334950086
RP11-253E3.3,3.072401072
RP4-622L5.2,0.52225786
RP11-455F5.3,0.042021171
AC006157.2,1070.003749
RP11-67M24.5,4.346446536
RP11-661A12.4,0.136857026
RP11-30J20.1,1.49E-08
RP13-582O9.5,0.135694306
RP11-89K10.1,0.253807562
RP11-131N11.4,0.036001107
RP11-809O17.1,0.317359791
KB-1732A1.1,0.428782077
CTD-2336O2.1,0.112487517
AC084082.3,0.581115401
RP11-431M3.1,4.24E-08
RP11-1136L8.1,5.504069964
RP11-273G15.2,0.176833121
RP11-347C18.3,0.310228071
TUG1,0.750138962
CTC-340A15.2,0.07321375
PCAT1,0.623291706
CTB-178M22.2,0.17625525
HOXA-AS4,37.41601205
RP11-157E21.1,4.96E-08
KB-1562D12.1,0.09166867
SNHG6,1.637788068
KB-1043D8.6,0.14562729
RP11-806O11.1,0.124287218
AC034243.1,0.828840185
RP11-1081M5.1,0.013660563
RP11-410L14.2,0.108003243
CTD-2547L16.1,0.330664617
SNORD87,0.740272159
GS1-251I9.4,0.453440889
KB-1460A1.1,5.234764637
CTD-3065J16.9,0.075610974
RP11-522I20.3,0.144664465
RP4-773A18.4,3.463402602
GS1-393G12.12,0.486189647
CTD-3074O7.5,0.604083877
TMEM9B-AS1,0.197774243
RP1-59M18.2,0.220078233
RP11-142C4.6,2.819090008
RP11-770J1.3,1.233175977
AP001372.2,0.226642642
RP11-110I1.12,0.236170565
RP11-21L23.3,0.114975301
CTD-2126E3.1,433.2920758
CTD-2589M5.4,0.166978674
RP11-732A19.2,0.36824754
RP11-483L5.1,0.073020056
AP003068.12,2.057378668
RP11-519G16.1,0.2391648
WAC-AS1,0.476067361
MIR210HG,0.09842752
RP11-627G23.1,26.43550058
RP11-315O6.1,0.291227937
AL136419.6,0.331689462
PDXDC2P,1.358397365
BOLA3-AS1,0.670629531
RP11-802E16.3,0.451854263
RP11-60I3.5,0.23909407
RP11-305N23.1,0.147734393
CTD-2516F10.2,0.606930945
AF131215.2,32.74634944
SCARNA9,1.893388358
RP11-266A24.1,0.137271813
BDNF-AS,0.67386853
RP11-111M22.3,0.282763955
CTD-2655K5.1,4.600223593
CTD-2245O6.1,0.010939993
RP11-755F10.1,0.380711248
SNHG9,0.059035515
CTD-2523D13.2,0.796726595
RP11-299M14.2,4.086296331
RP11-290D2.4,1.080192974
RP11-945A11.1,0.203292472
CTD-2228K2.7,1.015839839
RP11-783K16.14,10.07513975
RP11-467L20.9,0.253557797
SNHG1,0.745777908
PXN-AS1,0.63731809
AC156455.1,0.634518576
AP000721.4,1.663248067
RP11-727F15.9,0.091838293
FAM222A-AS1,0.92100792
RP11-90D4.2,0.064255108
RP11-76C10.5,3.06E-08
RP11-46H11.5,0.546597363
RP11-1038A11.3,0.391718213
U47924.27,0.262057573
RP11-463O12.3,3.299489276
RP5-940J5.3,0.173050613
RP11-273B20.1,0.047290207
RP11-783K16.5,0.787378615
RP11-87C12.5,0.175281466
RP13-977J11.2,0.116149242
U47924.19,0.328929954
RP11-712B9.2,3.151994199
RP11-522N14.1,1.003639447
RP11-197N18.2,0.633497126
RP11-794G24.1,4.374110135
RP11-282O18.3,0.343722997
RP11-46H11.10,0.378578514
RP13-941N14.1,0.66473379
RP11-347I19.3,0.201346832
SCARNA10,1.126715993
BAIAP2-AS1,0.536655285
AP003419.11,0.389648888
AP000438.2,0.225845666
RP11-21A7A.3,8.024765662
RP11-752G15.6,0.244025496
U47924.11,5.076130789
RP11-783K16.13,1.468733725
TMPO-AS1,0.570075548
RP11-983P16.4,0.348896008
RP11-620J15.3,0.33358056
RP11-571M6.13,0.754372339
RP11-315E17.1,0.028919113
RP11-320M2.1,0.027417532
RP1-288H2.2,4.716011904
RP11-793H13.8,0.854585597
RP11-579D7.4,0.48460122
RP4-816N1.6,0.124206346
RP11-438N16.1,2.27E-08
RP11-67A1.2,0.192102072
RP11-123K3.4,0.873732387
RP11-44N21.4,0.582245588
AL589743.1,0.024217583
RP11-603J24.18,0.337572932
RP11-658F2.8,1.199806319
BCDIN3D-AS1,0.146310071
CTD-2314B22.3,0.10656045
RP11-110L15.1,0.255775059
RP11-796E2.3,0.222657199
RP11-977G19.11,0.580951813
RP11-611E13.2,0.140495197
RP11-96H19.1,0.258146174
RP11-349A22.5,0.38117566
RP11-701H24.2,1.217360795
RP11-644F5.11,0.261679271
RP11-386G11.5,0.849609747
RP11-977G19.5,1.157063108
RP11-356O9.2,0.328056258
RP5-1021I20.1,0.476963926
RP11-407N17.5,0.047988863
RP4-776F14.3,0.404254314
ARHGAP5-AS1,0.338677809
RN7SL1,0.885394368
AL163636.6,2.781941634
RP11-193F5.1,0.35877011
AL157871.2,0.483077928
CTD-2540L5.5,0.643455902
RP11-66N24.4,0.329159708
RP6-65G23.3,0.148304617
RP11-488C13.5,0.572603368
YLPM1,0.722659173
RP11-701B16.2,0.474982658
RP11-638I2.4,3.119713407
RP11-356O9.1,1.459882864
CTD-2017C7.2,0.218014208
RP11-85K15.2,0.109669953
RPPH1,0.560248454
RP11-33N16.3,0.389988284
RP11-718G2.3,0.312290896
RP11-298I3.4,0.020366321
RP11-361H10.4,0.753789235
RP11-408B11.2,6.14E-08
LINC00641,0.814456905
RP5-1021I20.5,0.330498949
RP11-618G20.1,0.219872031
CTD-2134A5.4,5.209725468
RP11-66N24.3,1.089325953
RP11-561B11.6,134.5137118
RP11-7F17.3,5.53E-08
RP11-545M17.1,0.037995177
CTD-3049M7.1,8.22E-08
IQCH-AS1,0.413431187
RP11-387D10.2,0.468819247
RP11-219B17.1,0.194808427
RP11-37C7.1,0.180741774
CTD-2335A18.1,29.70092395
RP5-823G15.5,7.790454462
RP11-265M18.2,0.185679861
RP5-914P20.5,0.957918698
CTD-2116N17.1,0.379086651
XXbac-BPG300A18.13,0.732264682
RP11-330L19.4,0.483750332
RP11-403B2.6,0.899980341
RP11-761I4.3,2.195790899
CTA-204B4.6,0.689874013
RP11-64K12.2,0.358068822
RP11-323F24.1,0.156495687
AC142401.2,0.604057119
LINC00662,3.098980214
RP11-22P6.3,0.122897589
RP11-505K9.4,0.21053165
RP3-512B11.3,0.156569611
CTD-2256P15.2,0.144157274
RP11-311C24.1,0.267724523
RP11-715J22.3,0.544858516
RP11-343H19.1,0.061319078
RP11-629O1.2,0.006637561
RP11-61A14.3,0.388193899
RP11-355O1.11,0.218211321
RP11-566E18.3,2.297789534
RP11-368I7.2,0.407809651
RP11-102F4.3,3.013960875
CTC-459F4.1,4.629202505
RP1-310O13.12,1442.096192
AC135048.13,0.555307754
RP11-66N11.8,0.035567218
RP11-22C11.2,0.258045977
CTD-2270L9.4,0.139788078
AC012531.25,0.539874097
RP11-457M11.5,0.19112014
CTD-2165H16.4,0.17469335
CTD-2651B20.6,0.888326125
RP11-304L19.5,0.078815149
RP11-363E7.4,0.495289704
RP11-532F12.5,0.275190812
RP1-80N2.3,0.019523707
RP11-347C12.10,0.03965745
RP11-817O13.8,0.114289878
RP11-318L16.6,0.042085458
RP11-20I23.13,1.229603923
RP11-29G8.3,0.335313488
FBXL19-AS1,0.34349891
PAN3-AS1,0.121305102
RP11-795F19.1,0.430331206
CTA-29F11.1,0.017540055
RP11-195F19.30,0.130778719
RP11-196G18.22,0.053185501
RP3-406A7.7,3.897746995
CTA-204B4.2,0.1951488
RP11-77K12.8,0.270492168
RP11-303E16.8,0.160839077
MANEA-AS1,0.051948956
RP11-452L6.5,0.067853213
RP11-146F11.1,0.099673646
RP5-1129J21.3,0.135853187
RP11-611L7.1,1.070158754
MIR4519,0.045356306
RP11-395B7.7,0.515392261
RP11-4F5.2,5.231877657
DYX1C1-CCPG1,0.18185121
CTD-2323K18.1,0.121475769
AC004463.6,0.246116404
AC141846.4,0.64077145
RP11-44F14.2,0.275786327
CTD-2196E14.4,0.439282367
RP11-318A15.2,0.090430273
RP11-505K9.1,0.006972748
CTD-3185P2.1,0.302992984
LINC00657,0.809162406
RP3-467N11.1,0.102906243
LOXL1-AS1,4.350970692
CTA-445C9.14,0.082084637
CTB-31O20.2,0.117324133
LA16c-313D11.11,0.272279442
RP11-715J22.4,0.361067101
RP11-77H9.2,0.297244424
CTD-2319I12.1,0.011193987
RP1-223E5.4,0.005195305
RP11-488L18.10,0.770910014
RP11-303E16.2,0.721438705
RP4-659J6.2,0.266065323
RP11-361L15.4,0.423688428
LA16c-313D11.12,4.145510519
RP13-516M14.1,0.117485549
CTD-2196E14.9,0.362089534
RP11-626G11.5,0.112499448
AC009052.12,0.297665307
RP11-395I6.3,5.649253267
RP11-45M22.1,1.079715741
RP11-70O5.1,0.076142295
TEN1-CDK3,1.127161431
LA16c-313D11.10,0.29610889
RP1-39G22.7,0.130863128
RP11-701H24.4,1.448215239
RP11-343H19.2,0.464118094
HEXA-AS1,0.187715917
RP11-22P6.2,0.10656045
