gene,fc_1
POLDIP2,0.535970735
ALDH3B1,0.090168477
NEFL,47.03868421
CASP8AP2,1.731400654
PLK1S1,0.840815103
EMG1,0.345215777
UHRF1,0.32554967
UBXN8,0.173813669
PRIM2,0.509385998
MAL2,1.221706358
CWC15,0.269501404
NBPF1,1.893757196
DCP1A,0.463417801
RP11-14N7.2,0.095182004
AC004696.2,0.376442497
VPS11,0.944469034
RECQL4,0.599431236
AC093323.3,0.699241635
LINC00471,0.467839249
RP11-151N17.2,0.693038644
CTD-2201E18.3,0.344644995
ZNF518A,0.422083234
SEMA3B,0.324343522
PPP1R9B,0.389298622
DLGAP1-AS1,0.073071462
RP11-169K16.9,0.229840326
SCAMP1,0.245275919
LINC00476,0.107640269
AC025335.1,0.173050607
CYP4F8,6.537041492
ZFAS1,1.035426409
BX004987.4,0.107852912
SLC37A4,0.558311599
RP1-130H16.16,0.40403113
ZNF761,2.041105175
MIR22HG,0.084704107
RP11-56D16.2,0.12792722
C11orf95,4.015591888
AC096772.6,0.645521776
MAP3K14,0.427667401
AC005154.6,0.342914222
CTBP1-AS1,0.361052663
RP11-46A10.5,0.265838105
CTC-301O7.4,0.132930579
SNHG11,2.455415845
TP53TG1,0.617132908
AP000318.2,0.504940448
AC007246.3,0.603876809
RP11-423H2.3,1.022065365
PCBP1-AS1,0.770850401
LINC00338,1.168951731
AC093415.2,3.276410579
RP11-322M19.1,0.761532682
HNRNPU-AS1,0.563055852
SNHG5,5.495898592
RP11-622K12.1,0.417093403
RP11-23J9.4,0.934291888
RP13-401N8.1,0.797860323
ZNRD1-AS1,0.537679925
TTC25,0.213654847
ST8SIA6-AS1,0.12261731
RP11-106M3.2,0.878805132
CTA-384D8.20,0.117646388
C1QTNF9B-AS1,0.012926951
SPPL2B,0.384313876
C1RL-AS1,0.09699524
SNHG14,1.66912906
RP11-98D18.9,0.535072192
AC016725.4,1.771924918
RP11-152N13.5,0.224114645
SLC25A5-AS1,0.041903979
AP000692.9,0.987921231
RSBN1L-AS1,0.277861151
RP11-54O7.2,1.325859694
KANSL1-AS1,0.234515677
RP11-574K11.18,0.215091163
AC005562.1,0.888414329
CTD-2574D22.5,7.80E-09
HLA-F-AS1,0.082824975
CD27-AS1,0.741943918
LINC00680,1.021587764
DHRS4-AS1,0.55533723
ZNF718,0.864595537
LINC00478,0.484171591
LINC00649,1.038305501
BX322557.10,0.986510736
AL583842.3,0.000739823
hsa-mir-6080,0.15324019
LINC00339,0.292157775
CTD-2006C1.2,0.251724346
RP11-112L6.4,0.079095867
RP11-538D16.2,0.007700545
HCG11,1.965643476
AC003665.1,0.091068577
CTD-3184A7.4,0.304161696
DANCR,0.378737104
RP4-717I23.3,1.115922061
GAS5,1.8420142
Z83851.1,0.261553974
RP11-492E3.1,0.204459424
PRKAR2A-AS1,0.154983479
HM13-AS1,0.105753173
TMEM254-AS1,0.483319494
CTB-89H12.4,0.331121466
BX004987.5,5.22E-09
LINC00659,0.050358683
LINC00161,0.000968298
RP1-122P22.2,0.261737235
RP3-510D11.2,0.203787119
AC002456.2,0.132372306
HCG18,0.443649461
LINC00665,0.749304087
AC074117.10,0.535889147
RP11-396C23.2,0.293441926
CROCCP2,1.867329446
RP11-378J18.3,0.16694662
AC012146.7,0.125251018
RP11-390F4.6,0.163917389
RP11-807G9.2,0.30414954
AC073283.4,3.426395532
EPB41L4A-AS1,2.267083176
PTCHD3P1,0.486770995
ERVK3-1,0.613719715
SNORD56,1.575722119
RP11-418J17.1,0.809997207
AP000473.5,0.537121454
RP4-564F22.2,1.307145193
AC002511.2,19.51118207
CBR3-AS1,0.952095213
AC018737.1,0.356081681
RP11-613M10.6,0.859773191
SNHG3,0.193783637
RP11-429G19.2,0.559287542
TMEM191A,0.341392659
HCP5,0.013950058
JPX,0.69761106
AC000120.7,0.551323626
MFI2-AS1,0.158303968
RP11-86H7.1,0.18203412
RP11-328M4.2,0.196764105
CECR7,0.977510938
LINC00116,0.280209945
MCM3AP-AS1,0.848741658
RP5-1103G7.4,0.218021252
AC019181.2,62.81662973
RP11-191G24.1,0.649526765
XXbac-BPG246D15.8,0.085892952
AC113189.5,0.036560021
RP3-406P24.3,0.050093622
Z83851.3,0.603939463
RP11-206L10.11,2.234605686
RP11-558F24.4,0.307661308
RP11-67L3.5,0.156138177
AC074389.9,1.233535468
RP5-837J1.2,1.639501951
RP11-465N4.4,0.488843693
BRD2-IT1,0.440638034
RP11-464F9.1,0.394693701
LENG8-AS1,1.116664993
RP11-552M11.4,0.556931368
RP11-31F15.1,0.17856705
RP6-109B7.3,0.117560494
AC018642.1,0.103151005
RP11-295G20.2,0.488969696
DLEU2,0.75216035
TOB1-AS1,0.110123747
LINC00174,2.096382824
RP11-782C8.5,1.84E-08
RP11-64P12.8,1.191706577
RP11-18I14.7,3.015283561
AC017116.8,1.948083446
RP11-125B21.2,3.208848802
SNHG7,1.997550497
AC058791.2,1.061470252
AC010894.3,0.113306964
MLLT4-AS1,1.506687082
KDM5B-AS1,0.054726966
CTC-338M12.4,0.56296022
TTC28-AS1,0.487721445
AC016747.3,0.286568944
AC079807.2,0.155383885
RP11-54O7.3,1.733288677
RP11-518L10.2,0.482740313
FGD5-AS1,0.69078344
SLC38A3,0.102364632
RP11-69E11.4,0.378208836
RP5-1096D14.2,0.604303355
AC092431.1,0.224662183
TP73-AS1,0.587472716
RP4-792G4.2,0.82193855
RP4-545L17.7,1.095867214
CTA-292E10.6,0.076673105
RP11-54O7.14,0.831685898
AC009506.1,0.351306779
RP3-508I15.19,0.623854581
RP11-399K21.11,7.318088992
FTX,0.726519929
RP1-276N6.2,1.31E-08
RP11-439E19.3,0.087283641
RP11-383C5.4,0.216066805
RP11-132A1.4,0.026470546
AP004372.1,1.854230218
AP000472.2,23.00044193
TMEM44-AS1,0.064514321
RP5-1125A11.1,0.092314445
RP11-458D21.1,0.133189029
LINC00240,0.290065779
TM4SF19-AS1,0.162063153
RP11-452F19.3,0.312050625
RP11-313D6.4,0.634518431
RP11-196G18.21,0.026127281
RP11-297K8.2,0.123534675
AC007383.3,0.49505268
RP1-85F18.5,0.04474175
AC004540.5,0.234060136
RP11-442N24__B.1,0.064443354
ENTPD3-AS1,0.272626413
AC069513.3,0.448918908
CTD-2037K23.2,0.102125759
RP11-421L21.3,1.506037877
AC068057.2,0.341663968
RP11-305E17.6,0.232656979
RP11-148G20.1,0.054699926
BX004987.3,0.00000009
ZNF674-AS1,0.244808395
U73167.7,1.28E-08
RP4-694B14.5,0.279858304
DNAJC27-AS1,0.114726524
AC093734.14,0.268328914
AF011889.5,0.396671277
JRK,0.818122054
AC091729.9,0.377857184
AP001062.8,1.429054283
AC005682.5,17.60764414
HOXB-AS5,0.334605282
RP11-137L10.6,0.64347205
RP11-466F5.8,0.09635554
RP11-443B7.1,0.041223399
LINC00467,0.074261644
AP001065.2,0.184793915
AC010883.5,9.97094212
RP11-423O2.5,0.011642612
RP11-110G21.1,0.353394342
RP11-432J22.2,0.681679213
RP11-48O20.4,0.02030288
FLVCR1-AS1,0.014072951
RP11-46H11.12,0.04965802
DLG3-AS1,0.219172125
RP11-285F7.2,0.267816464
MMP24-AS1,0.17298487
RP1-309F20.3,0.282706471
AC007128.1,0.266460769
RP3-370M22.8,0.260837206
AC020907.6,0.742139729
AL133493.2,0.528273396
RP11-547I7.2,0.013197159
LINC00839,3.57E-09
RP1-92O14.3,0.402377787
RP11-422J8.1,0.264382919
PITPNA-AS1,0.363971517
AC074138.3,0.500715732
HOTAIRM1,0.148773459
RP11-499P20.2,0.267907927
AC073871.2,1.009024333
AC017116.11,1.117689745
RP11-187C18.2,1.880053216
AP001062.9,0.144208867
UBAC2-AS1,0.587646284
RP11-326F20.5,0.069637319
CTA-217C2.1,0.864725171
U73166.2,0.350511658
RP1-315G1.3,0.046146851
AC007405.6,0.478681489
XXbac-B476C20.9,0.042975418
LL0XNC01-237H1.2,0.234359694
AC108488.3,0.344707646
OPLAH,0.612442871
ANKRD10-IT1,5.645022384
RP11-65J3.1,0.032659102
LINC00035,0.092293687
RP11-367G18.1,5.076126511
RP11-453F18__B.1,6.818762732
AC007566.10,0.799393644
ZNF883,0.260676306
RP5-886K2.3,0.967980227
AC084018.1,0.555596922
MAPKAPK5-AS1,0.437524516
AC007319.1,0.536899681
BX571672.1,7.77E-08
RP11-77P6.2,0.351995826
RP11-267N12.3,0.438747091
LINC00843,0.744557871
RP11-162G10.5,0.03243099
LINC00853,0.077264208
RP11-220I1.1,1.190849948
AC093673.5,0.089167047
AC009478.1,0.02653884
THAP7-AS1,0.133619235
AP000704.5,0.513273236
RP11-38L15.3,2.448356384
AF131217.1,0.224200598
RP11-134G8.8,0.029650474
RP11-293G6__A.2,1.434562341
LINC00094,0.41611961
RP3-434O14.8,0.403290877
AC005534.9,3.172584104
AC159540.1,1.436142905
AC020571.3,3.654592525
RP11-773D16.1,0.390908077
AC000068.5,0.251968381
PRRT3-AS1,0.660312164
SLC2A1-AS1,0.036783758
AF127936.7,0.663360555
RP11-251A15.4,0.405070709
RP11-732M18.3,0.310436685
LINC00844,4.335858747
AP001347.6,147.1880416
RP11-269C23.3,135.7796393
AC133528.2,1.903556444
RP11-357C3.3,0.402230753
AGAP11,1022.330652
CTC-338M12.3,1.18458211
LINC00087,0.005302433
AC005076.5,0.106319028
LINC00205,1.122191768
RP11-435O5.2,0.710967057
RP11-67L3.4,0.079928851
RP4-583P15.10,1.091371442
AL450992.2,0.213768415
RP11-539I5.1,0.448575337
STK24-AS1,0.112710616
RP11-195F19.9,0.142406257
AC007283.5,0.871507583
RP11-392M18.5,0.386139916
RP1-90G24.10,0.580853005
RP11-429J17.6,1.171572176
RP5-995J12.2,0.885845731
DICER1-AS1,0.196566461
RP4-665J23.1,0.241176265
RP5-1061H20.4,0.134431999
LYPD8,1.93E-08
RP11-139H15.1,0.281224098
AC034220.3,0.45805816
RP11-296O14.3,2.869121862
AP001053.11,7.556012029
BX571672.2,0.010402023
AF238380.5,0.153252439
AC016683.6,437.4692921
RP11-456H18.2,0.014236032
RP11-500G22.2,0.494092321
PSMG3-AS1,0.873137211
RP11-96C23.7,1.888447766
RP11-122G18.5,0.255128256
SMIM2-AS1,0.13639364
HCG15,1.218823327
LL0XNC01-37G1.1,0.634518594
RP1-234P15.4,0.036143514
RP11-262H14.3,7.85E-09
SNHG15,1.328453001
AP006216.10,0.076579898
SNORA71B,1.172898311
AC026202.3,0.006043116
RP11-316M1.11,0.544607322
AP000304.2,0.260605851
