gene,hits
RP11-20O24.4,0
TMEM167B,0
KIAA1324,0
SARS,19
CELSR2,1
ATXN7L2,0
CYB561D1,0
GNAI3,0
AMPD2,0
GSTM4,0
CSF1,13
AHCYL1,0
STRIP1,0
RP4-773N10.4,0
SLC6A17,0
RBM15,0
RP5-1074L1.4,0
CEPT1,0
PIFO,0
ATP5F1,0
RAP1A,9
DDX20,1
CTTNBP2NL,0
CAPZA1,1
MOV10,0
LRIG2,1
MAGI3,0
RP11-512F24.1,0
DCLRE1B,1
HIPK1,6
VANGL1,2
SLC22A15,0
MAB21L3,0
ATP1A1,1
PTGFRN,0
TTF2,2
MAN1A2,1
FAM46C,0
WDR3,0
RP11-418J17.1,0
PHGDH,2
NBPF8,0
AC253572.1,0
NBPF26,0
LINC00623,0
SRGAP2C,0
SRGAP2D,0
FAM72D,0
AC241585.2,0
CH17-373J23.1,0
GPR89A,0
POLR3C,0
NUDT17,0
GNRHR2,7
POLR3GL,1
RP11-458D21.1,0
NBPF12,0
RP11-337C18.8,0
PDIA3P1,0
CHD1L,0
BCL9,5
GPR89B,0
RP11-94I2.4,0
ABHD17AP1,0
AC245100.1,0
PDE4DIP,1
NBPF19,0
HIST2H2BD,0
RP11-196G18.24,0
HIST2H2AC,0
BOLA1,0
VPS45,0
PLEKHO1,1
CIART,0
MRPS21,0
PRPF3,0
RPRD2,0
TARS2,0
ADAMTSL4,0
SETDB1,3
ANXA9,0
PRUNE,7
C1orf56,0
MLLT11,0
GABPB2,0
SCNM1,0
PIP5K1A,0
PSMD4,1
ZNF687,0
RP11-126K1.6,0
PSMB4,2
CGN,3
TUFT1,0
SNX27,0
OAZ3,0
RP11-98D18.9,0
AL450992.2,0
FLG-AS1,0
RP11-107M16.2,0
CHTOP,0
SNAPIN,4
INTS3,1
SLC27A3,0
RP11-422P24.12,0
RP11-422P24.10,0
CREB3L4,11
RP11-422P24.11,0
RPS27,2
UBAP2L,1
HAX1,2
ATP8B2,0
IL6R,9
CHRNB2,0
RP11-307C12.12,0
CKS1B,4
FLAD1,0
ZBTB7B,0
ADAM15,12
EFNA4,0
EFNA3,0
EFNA1,3
SLC50A1,0
TRIM46,1
MTX1,0
HCN3,0
FDPS,5
RUSC1,1
ASH1L-AS1,0
MSTO1,1
DAP3,0
MSTO2P,0
LAMTOR2,0
RAB25,2
LMNA,3
SEMA4A,0
SLC25A44,0
PMF1,2
BGLAP,4
TMEM79,3
TSACC,0
APOA1BP,0
AL365181.2,0
RRNAD1,0
PRCC,1774
KRT8P45,0
DUSP23,0
LINC01133,0
PEA15,4
SUMO1P3,0
NCSTN,0
VANGL2,2
RP11-312J18.5,0
KLHDC9,0
NIT1,0
UFC1,0
USP21,0
PPOX,3
NDUFS2,1
TOMM40L,0
SDHC,0
DUSP12,0
ATF6,19
C1orf226,0
UHMK1,0
UAP1,6
RP11-359K18.4,0
DDR2,8
HSD17B7,0
RGS4,0
NUF2,6
PBX1,9
MGST3,0
RP11-466F5.8,0
UCK2,1
POGK,0
DUSP27,0
POU2F1,8
MPZL1,0
DCAF6,4
TIPRL,0
SFT2D2,0
XCL1,1
ATP1B1,3
BLZF1,0
RP1-206D15.6,0
C1orf112,0
GORAB,1
FMO4,1
PRRC2C,0
METTL13,0
SUCO,0
PRDX6,4
KLHL20,2
DARS2,0
GAS5-AS1,0
ZBTB37,0
RABGAP1L,0
CACYBP,0
RP11-318C24.1,0
RASAL2,0
RALGPS2,0
FAM20B,0
TOR3A,0
SOAT1,1
TOR1AIP1,0
CEP350,1
QSOX1,7
LHX4,1
XPR1,11
MR1,6
IER5,0
EIF1P3,0
NPL,19
DHX9,3
LAMC1,3
LAMC2,6
SMG7,1
RGL1,0
TSEN15,0
C1orf21,0
RNF2,3
SWT1,0
C1orf27,0
OCLM,0
LINC01351,0
RP11-142L4.2,0
RP11-92K2.2,0
RGS2,6
TROVE2,1
CDC73,1
C1orf53,0
NEK7,0
NR5A2,3
CAMSAP2,0
C1orf106,0
PKP1,5
RP11-27G14.4,0
RP11-134G8.7,0
RP11-134G8.5,0
NAV1,28
IPO9,0
SHISA4,0
TIMM17A,0
RNPEP,0
ELF3,9
PPP1R12B,0
PCAT6,6
TMEM183A,0
PPFIA4,0
BTG2,18
PRELP,0
ATP2B4,0
ZC3H11A,0
SNRPE,2
SOX13,0
MDM4,7
NFASC,1
SNRPGP10,0
CDK18,0
MFSD4,0
SRGAP2,0
IKBKE,19
RASSF5,0
DYRK3,0
MAPKAPK2,7
PFKFB2,2
CD55,12
CD46,21
DIEXF,1
HHAT,0
RCOR3,0
TRAF5,2
LINC00467,0
DTL,3
PPP2R5A,0
NENF,0
ATF3,30
TATDN3,0
FLVCR1,0
VASH2,0
RPS6KC1,0
SMYD2,1
CENPF,12
KCTD3,0
RRP15,0
TGFB2,36
LYPLAL1,1
IARS2,0
MORF4L1P1,0
MARK1,0
C1orf115,0
Mar-02,0
Mar-01,0
RNU6ATAC35P,0
TAF1A-AS1,0
MIA3,1
BROX,1
FAM177B,0
RP11-452F19.3,0
DISP1,1
CAPN2,6
RP11-504P24.3,0
RP11-504P24.9,0
FBXO28,0
DEGS1,0
CNIH4,0
CNIH3,0
DNAH14,0
SRP9,0
EPHX1,19
H3F3A,2
RP11-396C23.2,0
RP11-275I14.4,0
C1orf95,0
PSEN2,4
ADCK3,0
ZNF678,0
SNAP47,0
ARF1,2
GUK1,0
IBA57,0
OBSCN,1
RP11-245P10.4,0
RNF187,0
FTH1P2,0
RHOU,4
RAB4A,1
RP4-803J11.2,0
URB2,0
GALNT2,0
COG2,0
RP5-858B6.3,0
ARV1,0
GNPAT,0
SPRTN,0
TSNAX,0
NTPCR,0
MLK4,0
KCNK1,0
SLC35F3,0
COA6,1
GGPS1,1
RP11-382D8.3,0
TBCE,0
GPR137B,0
EDARADD,0
LGALS8,8
MTR,16
RPL35P1,0
RYR2,6
EXO1,7
RP11-331N16.1,0
