Gene,fold_T_NM
SCAMP2,1.03554876
VIL1,0.725360647
MEN1,1.019671421
CSRP2,1.031908422
CALML4,0.877233809
PSMB8,1.027775623
SH3GLB1,0.986731687
NEK11,0.902884231
FAM86C,0.984061276
ADAT1,0.895115543
ZNF595,0.979592041
CCT4,1.008578115
HTRA1,1.033695456
KIAA0101,1.046228932
CACNA1G,1.194792482
INPP1,1.057505803
PDZD3,0.720384473
HMGCR,0.990615258
TOX,1.01414179
PSME1,0.972974355
PSENEN,1.011410483
KCNK16,1.097833375
PDE11A,1.087970233
REPIN1,0.987253658
SFTA2,0.94440891
PIP4K2A,1.012524836
C3orf27,1.02896127
SH3KBP1,1.006550014
SPRR3,1.082779075
NIF3L1,0.948062363
COL4A3BP,1.014147313
FAM3A,0.968354585
SPOP,0.972065312
NM_153693,1.080691182
TMEM130,1.127861966
RAPH1,0.945101437
ZNF682,1.03244558
EXOSC10,1.00941856
TRMT6,0.97081973
DHRS7,0.934866634
OR1A2,1.171614894
RAF1,0.95235667
LTBP4,1.058188633
SPRY2,0.951326517
DSCAML1,0.943373613
LRRC10B,1.047523562
FAM19A2,1.13755993
RETN,1.108087678
POLL,1.074642375
ACTR3C,0.884603717
RNFT2,0.976187023
OSTF1,1.019738876
FCAR,1.144119629
PCDH1,1.034273686
TMEM69,0.972585182
SNX16,0.948991442
KRTAP19-7,1.092010869
KDM4C,0.905770058
08-Sep,1.020739803
GAGE2D,1.354620057
SERINC2,0.895014001
MUC7,1.275254727
SPAM1,1.552066684
KARS,0.929995123
NOL3,0.976848481
PCDHA6,1.110131046
C1orf158,1.127325347
PGK1,0.973932703
WDSUB1,0.918653881
TP53I3,0.99564163
ZSWIM6,1.012583354
CASC4,0.931316553
FAM53B,1.025296677
C7orf59,1.028392436
TNFAIP8L3,1.275686803
TMEM146,1.155734051
PAX3,0.975543936
NM_014620,1.173333577
E2F3,0.998389877
SDF2,1.01196553
OTOA,1.100830406
TMCC2,1.167741763
OSGIN1,1.085294005
USP37,1.028507138
LMBR1L,1.021395396
S100A12,1.10206651
CBLC,0.980804151
MST4,1.032938122
RALGAPA1,0.932850203
PPAP2C,1.021551646
RASGRP3,0.970116339
MARCKSL1,1.002012644
GBE1,0.992469379
KCNQ5,1.146967839
ABI1,1.024100574
NMD3,0.894773391
SHB,0.835018589
PNPLA6,1.038174511
NCOA4,0.970969129
ARMC2,1.035830485
ACSM3,0.711259503
LCE2B,1.714679946
PILRA,0.903281747
USP44,0.975469539
SPATA1,0.863493742
SOX12,0.900428972
MDP1,0.973075282
AMT,0.909616706
NPR2,1.154424911
RBP1,1.023767107
ZFX,0.940670186
FEZ2,0.981996666
CREM,1.044027468
MCL1,1.025443897
VCL,1.094808088
RPL34,1.113774955
AMPD3,1.173777762
C14orf148,1.142338273
FAM72D,1.030907913
POLD2,1.192261704
PEA15,1.047224313
TJP2,1.01109163
FXR2,1.031838096
SETD5,1.036520909
AJAP1,0.660884008
PIGN,0.894441175
BCL2L15,0.804454266
APBB1IP,0.931170455
CTDSP2,0.971251886
FAM89B,0.974915809
TAB3,0.912354779
C12orf68,1.040372281
SERPING1,1.009800901
SSTR4,1.184328145
SPINLW1,1.083481921
CA12,0.985019065
CD58,0.958696241
CYTIP,1.061983548
USP4,1.011550664
ITPRIPL1,1.238041092
CASP1,0.9843075
ZG16B,1.063073311
LITAF,1.012503783
CTNNB1,0.888794486
WDR20,0.975516827
ANKRD33,1.160478405
DYRK2,0.987054575
FARP1,0.855760272
ANAPC7,0.991512972
BRMS1,1.001005902
C11orf83,1.010066828
GNB2L1,0.997518266
C15orf23,0.968924875
EIF3D,0.986782291
OXGR1,0.999541662
MAMSTR,1.073065816
SRPK3,1.106532568
HAUS7,1.052103494
SLC2A5,1.16584279
KCNK3,0.85029366
C12orf70,0.922004951
FAM3C,0.897708072
RPL13A,0.998440882
SLC41A3,1.058740229
C7orf68,1.082841451
PSMD4,1.014580397
CDHR2,1.048836832
CCNJ,0.976614179
NDUFAF3,0.986882024
RHEBL1,0.978011462
ATRN,0.974445021
TIMP4,1.160754841
DAP3,0.962591241
PITX3,1.026104996
TNNT3,1.259389702
PPP2CB,0.946080647
DPYSL3,1.081072073
ATXN7L3,1.012178625
CYB561D1,1.027942375
CYLD,1.030093338
EIF4G1,1.040562228
NR4A2,1.020858924
NUB1,0.952931363
C9orf82,0.881985517
OPRM1,1.150170546
GOLGA8A,1.047706707
TTC8,0.863975325
ALPP,0.952216749
ZNF326,0.933412108
NLRP12,1.131300265
STX16,0.984714278
MDH1,1.015315044
CLEC7A,0.990118098
METAP1,0.994305606
ZNF440,0.878476855
TNFSF13,0.883060751
KDM3B,0.923304827
CD24,0.854676685
PLIN4,1.118960061
AS3MT,0.882771812
FTMT,1.240607114
FBRSL1,1.001905841
LRIG2,0.973626267
FAM101B,1.099100051
MBD1,0.994078053
COX5A,0.981769253
FANCC,0.911578168
NPRL2,0.958435912
SUN5,1.084829471
CHCHD7,0.97892591
OPN1LW,1.141838844
SPIN1,1.047634032
DMBT1,1.05920256
IL32,0.872300077
STAR,1.159862433
AFAP1L1,1.113328788
POFUT2,0.905881886
TRAF2,1.02038998
GIGYF2,1.034224279
PCDHB6,0.945267774
XAGE3,1.122198059
SLC9A3R2,0.968240024
LIME1,1.007028517
CCDC114,1.080306647
WDR46,0.982588918
STAP1,1.205883183
C16orf13,0.995672706
TP73,0.893421192
BIVM,0.880240875
HIST1H4F,1.151846147
NALCN,1.245993785
GABPB2,0.999154438
ELMO3,0.932164544
LY6D,1.468306905
PTGR2,1.159551051
SLC2A6,1.057296823
SGSM1,1.078428422
DDR2,1.123605983
KCNK7,1.158558262
LGALS1,1.037894899
CD247,1.138978355
FAM129B,1.226311117
KRTAP6-1,1.145498057
LIG3,1.023812892
RNF215,1.187106771
BIRC7,0.937264253
EMB,1.115623578
CPT1B,1.02362933
TMTC4,1.028649852
OR6C74,1.111121339
NBPF15,0.995884426
HYDIN,1.067638723
TRMT1,1.158655474
GPIHBP1,1.242480627
ARHGEF10L,1.178365216
DES,1.102516169
NEK3,0.957300567
ZNF780A,1.042253043
TRIM62,1.033371758
PSMC4,0.912067607
AOAH,0.94925493
CX3CR1,1.190059502
FGFR1OP2,1.019657632
XPO7,1.004595244
MAGEA6,1.094597116
SMN1,0.988368466
TTC39A,1.033885732
SLC4A3,1.118705833
ARPC2,1.054681952
LIG4,1.029169539
GRASP,1.06442104
ERG,1.04302349
BBOX1,1.058495331
C3orf62,0.962753268
LILRB1,1.060202951
PJA1,0.972213439
PLEKHH3,0.900019441
TSPAN4,1.069127376
PSMD7,1.017265125
WWP2,1.125144494
HOMER3,0.958634495
NAT8L,1.008970058
LSM7,1.015657985
NM_004502,1.157165044
RFK,0.965550701
C7orf36,0.939007218
GGN,1.069929519
ALCAM,0.863750668
SURF6,0.968702258
FAM90A10,1.164556642
UBE3B,0.941129788
LOC644538,1.017743873
SPINK7,1.41320258
MTX1,0.993983661
PPP1CA,0.96638388
RSPH6A,0.903724949
C7orf28B,1.000386305
RPRM,1.028627501
ZNF727,1.283178199
DAZAP1,1.024222847
ADCK4,1.262350304
C1orf43,0.97160269
MRPS11,1.005274171
N4BP3,0.991204978
ZCRB1,0.955434073
PVRL4,0.838522894
RPS6KC1,0.869339319
CD38,1.002713891
IDH3A,1.041015241
KLHL23,0.966377533
EIF5A,1.143185023
FLJ10213,1.00275998
SAMD8,1.023110801
PTGIR,0.986355799
SLC7A6OS,0.983512941
FTL,1.030460713
KLHDC5,0.92337044
MLF1,0.989734166
ZNF395,0.977796888
JMJD5,1.144546483
SNX2,1.004289045
ATF1,1.018264264
GP9,1.0962482
GNRH1,0.966008759
TMEM198,1.109036158
PRRT4,1.007854207
SARDH,1.131108882
KCNAB1,0.878707248
SLC18A3,1.166222297
OXT,1.191569052
FHOD1,1.067712127
EDF1,1.014010822
MORF4L2,0.958377991
HDHD3,0.971832271
CD83,1.073637944
SAP30,0.961343843
CAPN3,0.997125701
B3GALT4,1.014977917
BTC,0.741667345
EWSR1,0.981486499
PRMT1,1.006928375
C21orf58,0.849556144
PRR23B,1.122609905
RER1,1.016585092
GRIPAP1,0.960847963
SP7,0.978378045
MRPL45,0.927419782
MIB2,1.110156496
CD96,1.007293916
EN2,0.970894413
RNF114,0.980446922
RAB39B,0.917657689
ST14,1.031323649
STX8,0.966159674
ROD1,0.997112761
POLR1C,1.002733362
RAB34,1.076573972
PCDHA13,1.07901123
SLITRK2,1.12120438
RPS14,1.004206254
FDPS,0.982474073
NOP14,1.032127025
DUSP4,1.12488404
ATP5SL,0.945314583
GTF2I,0.877195823
PNCK,1.011926833
UBE2D3,1.004688676
RPS16,1.004538399
RRAD,0.997841685
SYCN,0.61479671
CATSPER3,1.116189847
GNL3,1.025511023
CDC45,1.19039008
CDKN2AIP,0.898597686
BHLHE22,1.113182174
COLQ,1.352536587
BCAR1,1.015078734
NOS3,1.039386908
ZNF185,1.10794093
CYGB,0.978551492
ARNTL,1.091904281
IRS1,0.895717876
MACROD2,0.892440813
DPP3,1.182071939
EDDM3A,1.240751019
THOC7,0.977517927
HDAC7,1.074889886
SLC39A5,1.076561919
BAG2,1.064580708
KIAA0232,0.984306648
ZDHHC4,0.99003244
DENND1B,0.896279605
TFAP2E,1.099350515
SAMD9,1.084156238
SLC25A28,0.985862573
SCAND1,0.952793479
RBM20,1.023579477
ARR3,1.158157221
YIPF1,0.963567678
TRIM28,1.001871575
PTK7,1.004403527
KIAA1324L,1.030531748
PSTPIP1,1.027915075
FANCG,1.063327744
RNF167,1.00570372
TMEM136,0.940111182
FEM1B,1.020789653
PXMP4,1.000449652
RUFY3,1.003593428
MCHR1,0.904002312
GPR89C,0.903585084
MMP28,1.062438915
CTSO,0.877630374
TBC1D7,0.920248999
TBC1D8B,1.060026088
EPM2A,1.019565191
CSF3R,0.979528369
RPS19BP1,0.978098896
LMX1A,1.193248267
TAGAP,0.979496868
GLB1,0.885535593
PRPSAP1,0.945805249
PGAM1,1.034142101
SLC25A1,1.08539826
H3F3A,0.994410559
MGAT2,0.998921217
NCOR2,1.007716227
TTLL12,1.00012608
LGALS3BP,1.053040491
KIAA0907,0.924253311
PQLC3,0.953580093
CD46,0.918231674
CGREF1,1.153970461
ILF3,1.013205442
PHF17,0.926306313
SPINT1,0.930687713
CSDA,0.975435207
MARVELD3,0.694091405
TNPO2,1.076208647
OR56B4,1.186318992
MPND,0.91246811
POLG,0.996953129
ANKRD40,1.115416293
RASGRF1,1.180311664
NEU1,0.931500091
DGKA,1.022848785
CDR2,0.956364395
SUPT16H,0.964761718
CSF2RA,1.016713242
SKIV2L2,0.956992828
PLAU,1.0631585
SF3B5,0.999989303
PHF23,0.939455695
GRK4,0.974444321
DEFB135,1.146027078
OGG1,1.028540432
BEX4,0.93286992
BMP8A,0.959030473
ODF4,1.09363809
PLEKHG2,1.117682136
STAU1,0.973187196
C13orf30,1.225537066
BTF3,0.977874465
DHRS1,1.07556158
CCNT2,1.059233367
UBR3,0.948298401
TXNRD2,0.882376328
GTF2H2,0.992069773
FAM179A,1.162611128
POLE3,1.064246083
CLNK,1.082541086
SIDT1,1.228831745
ZNF134,0.976882222
LTA,1.070276308
H2AFY,0.984193387
ARHGEF1,1.140868718
FERMT3,1.027537659
NOL7,0.99169377
SLA,1.161262675
CD8A,1.029341169
RAB5A,0.97293197
ADORA1,1.094155392
AGAP11,1.013009338
PPIP5K1,1.164682536
PHF11,1.143932284
HPSE,0.883578898
KIR3DL2,1.080234951
EXOC7,0.980139893
PHLDB2,0.864597286
ZNF160,1.089568434
SERPINA1,1.00059481
PCLO,0.866695031
EEF1B2,1.003628093
ACTL7A,1.015722909
AMBP,0.613686551
WDR77,0.978450325
CSAG3,1.045466653
PPP1R12A,1.025266384
DZIP1,0.901933243
ATG5,0.965518892
PABPC5,1.038212877
SLFNL1,1.101209653
AKR7L,0.940440373
CUL7,1.053982128
SCFD1,0.895585635
PTGER2,1.078690152
S100A13,1.046288419
SLC25A13,0.891651535
GAS2L1,1.076432165
C2orf85,1.085123537
ARHGAP9,1.10876405
CRIP3,1.003389477
CHRNA3,1.066492106
NAPEPLD,0.94449542
TESC,0.834829389
TMEM91,1.017525073
VDAC3,0.993023943
CYP4F11,1.055736202
KLHL3,0.932467759
KIAA1731,0.771359195
ZDHHC16,0.987379303
LSG1,0.969918159
CCDC77,1.041060737
B3GALT6,1.004930476
RPL37,1.003987179
LOC401097,0.88932419
KLRK1,1.087364702
TUT1,0.998487596
CIDEA,0.984462482
SLC48A1,0.980765482
HMOX1,1.089392332
SLC38A6,0.979943869
BDKRB2,1.083419488
COL13A1,1.038831583
COPS7A,1.075282069
UTP3,0.992934892
CPB1,0.588113278
MEPCE,0.933801478
LASS5,0.94691243
DUSP13,1.13286862
NRXN3,1.138783056
COCH,1.046858841
MLKL,1.039422898
ZNF696,1.127752522
ELN,1.039816633
TMEM174,0.967534462
CAPS,0.943703928
UBL4A,0.971222702
SLC35D2,0.922670924
FAM19A3,1.119809529
ZC3H11A,1.065283117
ITM2C,1.079753031
LOC100132963,1.086135879
HOXC6,1.058002159
ZNF677,0.949502939
CASP8,1.001941569
TYRP1,0.979669464
MRPS15,0.968768887
ZNF346,1.088074062
RUNDC3B,0.844676841
FDX1L,1.010291374
ERAS,1.240797674
PPP2R2D,0.874322974
OXCT2,1.051194552
PAICS,1.019928292
CCNE1,1.042664751
CLDN15,1.035273278
SIGIRR,1.077726357
NASP,0.991640319
GARS,1.005058986
PLA2G16,1.079623106
CAMK2B,1.007197599
SFPQ,0.999331966
ELOVL7,1.070191477
ZNF234,0.975749793
DARS,0.991960295
ACTN1,0.967125467
GSTM4,0.969013588
TLCD1,1.125236967
WIPF3,0.972634042
TAS2R1,1.215478967
FAM18B2,0.968092065
DYNLRB2,0.857007253
MSN,1.020435062
GALNT10,1.066119957
ELF4,1.102964119
